tier,puuid
MASTER,iWmaoonYYZ2mSGb4C0wwO1YCpont0sdnQR1P2Y8BPHYGU9Z2Pjr0KUKGIJvzfKNclwDO7IgfEX55Mg
MASTER,nv6Xn3GhVprh9eLpUj_DdVE4gKQidAtYsg--PWkIUj3eYJJlRu4NzAtrwz5YOiIPD329FD5Y6QGKMg
MASTER,F8LHYkDXZQrB6mucRC3nDErXBP2Q9z0S72L0Ar_Dnc2_FWsVZiisxL1vICyxfMIK_wUqrUK5R34G1g
MASTER,XVJ2bUWNhJPu8_kYpSEyVzdhg-D9Q9Sf2mwHue_dSz1zSofl-vVPI1uh4bASBLKtndyKBaiFRQqQEw
MASTER,PLsKgygd8uyVI6up2rGtTrg-FdNQDtT52lyL95QQv29gpAVBmg-X6_PzzGN9As4qM6rtnQ24mcmY0A
MASTER,xKP82vIFEuNB7zl4YdGIA_53yAgmLbFqXCOrCPl4oD7PpIVhkZj57AxUd1sBHoqAuWtPnRSCakBJ_A
MASTER,KkuAB-JOFGdVJx0pUxolfhS_LMHb4-gr1p9fsSyADIu4t2ip9gb8cRzh1ucp_1Otv2ZthKb9m6Eflg
MASTER,DZaLD6VuABDM7564NZRc5Q_Wfwa2caLhuWhfiS1iSEFNp6Ji72j2MCOzzK6E5gLMaKvWm3pvvsiriw
MASTER,q7EKdyWdfU7Ur3V-THTBUoEOlulLr6AdkhdPX7Mg-bZ8FZoFRBYJgrq9tg3LvJs5ubHBLB4bzLa0pQ
MASTER,5uLokMO3zoUVJuiznhjg1h_WTsjHWVcuCvr7QYxHABgcC1Frt_PBO7p8o-5G7-FqyuCWn14TdpgrYA
MASTER,ETMg-kMPLpW3QNmdlWBBd_2XdvT4lKhc6qcyHBudwvvyaSxvnHUSRAosx0V3wL42iG7Qo5w7NO00YA
MASTER,gPAOzW9WrDeuw_PuvAL5Ffs_wFX3nXGXyMqdeVpXnqEgLgg6JU4KouXGMXyaff0clfOKqEO69-SIBQ
MASTER,QyxN6MGXL-oq_9-6dRXDdB_Q6FbCN3EtRBbSIj0zif1j36pBneyOwmJrm52XAJrwlOL3Vz7xYGsrOw
MASTER,aQbrCEh50I2wNW1BJDcnMvfdIkq1gBY0omN860HTiFVOu3za8NUMD13e2YDiFE3S8GDFdPWxgywszg
MASTER,Mbgc2k7wWr38bGZzL4D-SiHieqdWtX34Vs192SsDUNEnf21M9_bjy1vGMn32kWLFRiyiSgHeDev-dw
