tier,puuid
MASTER,bbwmZaZOfesYcy_qH1Q_9ef5Rcn3BM_pFqlHDUecRnp292SE2G3fk9r00OrcO9VHCflIZDdT9tXoDQ
MASTER,Uirpbg0mA5ID3GSHbtFk2LpAocpbvi4J4HfJ1t8-9dp3NhBErCJKkKTJ4HzNTdtjoU2E4ks_HOnC5Q
MASTER,tMImwuIZgEW0UYXe7du5Ih1nLUQbS7acXh45kDurWHZBtK5DvHLroMjQ70Ppwvj29E7JzCS0upWwKA
MASTER,Y2NPqea1WSsiWokIUNdjrJtupurK3rge5-tKa_MHJiePR9gsYO3QLqh5amIoaC8OtmD5i3KT7KqAiQ
MASTER,8tWBYXI4bedNoXXciyigtBAqWrbamTBb2cFeDlWRVmfZ_bKCf8d_2J7FaagIEjB9nPffpLChLeiG4w
MASTER,kvWecl326-W4jcZ29L1tTsDBzaCLNgjXvoz0TMHEqHOtt9OQSBDyYOoh01fFpq3X3ezTfM4mICT-1Q
MASTER,XHKQns6IUkvrRxBJL05rc1Jf2UhXZCIPmVn6Pd8LTFFegIY_ZKmBh6WmFqf5X9DzZhhKVdWsIufegA
MASTER,8hRJRrWBavDwvPAgOFCRg4OvD_H8Pz-sqjS2Ceo_FIsPUxmp-emAHDZJxG8u-EtjyokQ83feRco9nA
MASTER,2km3o-ekoBY6QPYlEbEkgg948YWCKedjpczD-20v-6ZHxCFTsRABkHPr20PioxyQQjZzjBKY3-1dJQ
MASTER,uu6rHnTnvvS5lYwu_YOmsXX5k7RI9H2lZOAnWH6AA8ygivUXWv6n6MO16hAbg5EPvKk2ae1wm_4b8Q
MASTER,Zyt5H0VfSMtdE6_LTEDVzvhfJttTdqAkTKPiwIZak0gf2rGVim82Qfop2i0nmdlKP4ryz6C5uAcbuA
MASTER,r9oGDTzeGsTRDQ1fxvOV88wd1Y5bY_g9EnPmzaEz4OrK4DYXvZLpo1T0meHlDaEkcEItDTiWvMyc8g
MASTER,5YiuyR5HGSs-JmbjibGwJRSe_vtNaJRTTDgRxhSXKFWjwqsdQVa5k39jsCLwF6k3lvoeA689SWw29A
MASTER,u8X0nGfrYawhx6TrfQdG_m8rXUr7HYczdO4ECZise6Lp4RpGnC75ARmW1aRx-HlyoHAE9DjVzFsjeA
MASTER,N22JCeZCeyNuB0YYnC1_LuYyF0Wz1ej20coLGRX_ROi-4wfIGpXi3Vqo5CjGOZk1bwMc9WPPciMFOQ
MASTER,1YSJThl9WI2h_ITUefqNH73y1CPXCJjl9e1gXpbEf_L1Uv4oY2Lwj1rCas3WCe5f2ijPU6Cxd8xFtQ
MASTER,ikfewJaXhZwQt2BfUnVsgWtor7OmubZz2AWH1XjDJrsblvWdC-TcOloWawHbJ_el4qK_HChmJNjGcA
MASTER,Hw7yTgvSRzZRJ0wxZqEtg9hGrXUZFDzAR13Vl3dN-7cyeFfAWo_cWB735ch_rJ5PSRCH0Ku48gs9lQ
MASTER,IzKhwu-23sijmXhGSvd9GNuRHuzcFjvrZ3ryVGVmonpUb09qzymw7TZ2kQIj7b0mcjfMRs64yDa-Yg
MASTER,SgHfwUxapQNj4Vx9OWpBafWE5_mBZXsr-7-gn0Wq_HzokUrBn0A4dt4T5ZIRbG_iHi54HmRkkwhsdw
MASTER,uYS0dHw5-f_-nZP0kkLQuvNMDpfZ66jQqx6EfLVqzsEkjSj-zY64f3lsZE8HDB6xL6S9qO3eyFho9A
MASTER,cEAh2UIaQhdFyxoALw_LABas0UTdd-juMt1QUIpVDn7dYoUwT__aNrBTRssVJ1G8XftN5muIrIr5HQ
MASTER,1Oo5XNbiqieuYX7yx5-lzU1Iuk1aFVLWNSgO9nH4ZBdewB1bqUpo_bHnbuXZ5AOHrExYxTl1wQ9qyg
MASTER,E4Of38_jcT-tNYZ--23FR_lSfuoJnzlIJYMEtmZxW4AbODw5sFfRtc_l3JuYvJvy9n6ekshwAd_fBg
