Role,Champion,ImpactScore
BOTTOM,Zyra,0.085705824
BOTTOM,Samira,0.054370355
BOTTOM,Aurora,0.054358058
BOTTOM,Seraphine,0.047656786
BOTTOM,Viktor,0.042880043
BOTTOM,Yasuo,0.041798506
BOTTOM,Senna,0.035111416
BOTTOM,Vayne,0.03458589
BOTTOM,Draven,0.030736532
BOTTOM,Jinx,0.030626504
BOTTOM,Tristana,0.026434561
BOTTOM,Aphelios,0.024833797
BOTTOM,MissFortune,0.024744684
BOTTOM,Zeri,0.023635859
BOTTOM,Nilah,0.023393368
BOTTOM,Ahri,0.022495018
BOTTOM,Swain,0.02186157
BOTTOM,Lucian,0.02078303
BOTTOM,Hwei,0.016137581
BOTTOM,Varus,0.013217723
BOTTOM,Sivir,0.013185503
BOTTOM,Xayah,0.011734028
BOTTOM,Karthus,0.011588592
BOTTOM,Lux,0.008851748
BOTTOM,Veigar,0.008802389
BOTTOM,KogMaw,0.0051196115
BOTTOM,Twitch,0.0028618795
BOTTOM,Caitlyn,0.0006074654
BOTTOM,Corki,-0.0053807963
BOTTOM,Mel,-0.0058428072
BOTTOM,Brand,-0.0069252653
BOTTOM,Xerath,-0.0074681123
BOTTOM,Kaisa,-0.010772739
BOTTOM,Ashe,-0.010905763
BOTTOM,Smolder,-0.020488456
BOTTOM,Jhin,-0.022665061
BOTTOM,Ziggs,-0.02625377
BOTTOM,Ezreal,-0.029808795
BOTTOM,Kalista,-0.08621335
JUNGLE,Zyra,0.09092952
JUNGLE,Ekko,0.08585687
JUNGLE,Rengar,0.07322691
JUNGLE,Gragas,0.07169173
JUNGLE,XinZhao,0.0711945
JUNGLE,Zac,0.07113848
JUNGLE,RekSai,0.06524427
JUNGLE,Talon,0.06428911
JUNGLE,Kindred,0.060488887
JUNGLE,Taliyah,0.05867013
JUNGLE,Nidalee,0.05784076
JUNGLE,Nunu,0.057220697
JUNGLE,Poppy,0.056653533
JUNGLE,MonkeyKing,0.05489701
JUNGLE,Belveth,0.050470725
JUNGLE,Ivern,0.046770643
JUNGLE,Sylas,0.046715245
JUNGLE,Elise,0.044536196
JUNGLE,Pantheon,0.04453456
JUNGLE,Jax,0.04214203
JUNGLE,Shaco,0.04193121
JUNGLE,Ambessa,0.03976367
JUNGLE,Volibear,0.039599918
JUNGLE,Olaf,0.03948426
JUNGLE,Viego,0.033446323
JUNGLE,Gwen,0.032045513
