Role,Champion,ImpactScore
BOTTOM,Zyra,0.07368105
BOTTOM,Xayah,0.07243913
BOTTOM,Yasuo,0.06761567
BOTTOM,Karthus,0.06640844
BOTTOM,Draven,0.065172605
BOTTOM,Swain,0.0621146
BOTTOM,MissFortune,0.061363105
BOTTOM,Ziggs,0.049893323
BOTTOM,Veigar,0.049085308
BOTTOM,Ahri,0.042904306
BOTTOM,Samira,0.04193336
BOTTOM,Tristana,0.041647423
BOTTOM,Corki,0.040676396
BOTTOM,Lux,0.039811146
BOTTOM,Caitlyn,0.03865433
BOTTOM,Seraphine,0.03557985
BOTTOM,Lucian,0.03269735
BOTTOM,Sivir,0.031147987
BOTTOM,Viktor,0.030538645
BOTTOM,Syndra,0.030247772
BOTTOM,Vayne,0.026940046
BOTTOM,Senna,0.02496032
BOTTOM,Mel,0.021841738
BOTTOM,Jinx,0.02170238
BOTTOM,Aurora,0.021487793
BOTTOM,Aphelios,0.0181451
BOTTOM,Irelia,0.018135563
BOTTOM,Hwei,0.018066963
BOTTOM,Smolder,0.016788866
BOTTOM,Zeri,0.016741384
BOTTOM,Kaisa,0.016041312
BOTTOM,Brand,0.016009342
BOTTOM,Twitch,0.0075869453
BOTTOM,Nilah,0.0073559526
BOTTOM,Varus,0.007354231
BOTTOM,KogMaw,0.0053953067
BOTTOM,Velkoz,0.0012821031
BOTTOM,Ezreal,-0.0025820837
BOTTOM,Jhin,-0.0026724422
BOTTOM,Xerath,-0.004421093
BOTTOM,Ashe,-0.010725943
BOTTOM,Kalista,-0.034290783
JUNGLE,Zac,0.11292188
JUNGLE,Taliyah,0.09383711
JUNGLE,RekSai,0.08277814
JUNGLE,FiddleSticks,0.082354195
JUNGLE,Zyra,0.08082887
JUNGLE,Gragas,0.0772428
JUNGLE,Ivern,0.07256029
JUNGLE,Rengar,0.07220023
JUNGLE,Rumble,0.0709573
JUNGLE,Kindred,0.0708009
JUNGLE,Karthus,0.070627384
JUNGLE,Shaco,0.06962356
JUNGLE,Jax,0.067671396
JUNGLE,Talon,0.06672903
JUNGLE,MonkeyKing,0.066625394
JUNGLE,XinZhao,0.066592425
JUNGLE,Gwen,0.063801326
JUNGLE,Poppy,0.062980756
JUNGLE,Ekko,0.062373675
JUNGLE,Pantheon,0.062308606
JUNGLE,Khazix,0.059781928
JUNGLE,Sejuani,0.05961953
JUNGLE,Diana,0.053749207
JUNGLE,Nunu,0.05250271
JUNGLE,Zed,0.05114743
JUNGLE,DrMundo,0.047001757
JUNGLE,Nocturne,0.04662193
JUNGLE,LeeSin,0.045996446
JUNGLE,Volibear,0.043977313
JUNGLE,Corki,0.042994022
JUNGLE,Sylas,0.04121042
JUNGLE,Olaf,0.039638307
JUNGLE,Belveth,0.03836898
JUNGLE,Ambessa,0.038017415
JUNGLE,Evelynn,0.037064724
JUNGLE,Lillia,0.03699301
JUNGLE,Udyr,0.03678195
JUNGLE,Qiyana,0.03671908
JUNGLE,Viego,0.03665773
JUNGLE,Amumu,0.03600945
JUNGLE,Elise,0.03439523
JUNGLE,Teemo,0.030192694
JUNGLE,Rammus,0.027629007
JUNGLE,Nidalee,0.026827661
JUNGLE,Hecarim,0.026753562
JUNGLE,JarvanIV,0.025960349
JUNGLE,Kayn,0.025915686
JUNGLE,Naafiri,0.023901636
JUNGLE,MasterYi,0.016016964
JUNGLE,Brand,0.0153264785
JUNGLE,Warwick,0.013721363
JUNGLE,Briar,0.011483741
JUNGLE,Vi,0.00738564
JUNGLE,Graves,-0.0059890603
JUNGLE,Shyvana,-0.011646507
JUNGLE,Morgana,-0.012339256
JUNGLE,Trundle,-0.020914346
JUNGLE,Skarner,-0.025507547
MIDDLE,Zac,0.11101628
MIDDLE,Quinn,0.10186988
MIDDLE,Taliyah,0.095659934
MIDDLE,Tryndamere,0.090224035
MIDDLE,Akshan,0.08158569
MIDDLE,Gragas,0.07715875
MIDDLE,Katarina,0.07447732
MIDDLE,Kindred,0.07432306
MIDDLE,Neeko,0.07397746
MIDDLE,Yasuo,0.07373504
MIDDLE,Heimerdinger,0.073662736
MIDDLE,Galio,0.0718093
MIDDLE,Riven,0.07122538
MIDDLE,Rumble,0.070907146
MIDDLE,Vex,0.07030559
MIDDLE,Ivern,0.069900475
MIDDLE,Kennen,0.06940392
MIDDLE,Zilean,0.06609097
MIDDLE,Cassiopeia,0.065980606
MIDDLE,Azir,0.065336205
MIDDLE,Talon,0.06491797
MIDDLE,Swain,0.06381161
MIDDLE,Pantheon,0.06371174
MIDDLE,Nasus,0.06281739
MIDDLE,Orianna,0.062487
MIDDLE,Jayce,0.060824145
MIDDLE,Ekko,0.06049809
MIDDLE,Renekton,0.05800146
MIDDLE,TwistedFate,0.05680655
MIDDLE,Akali,0.05562395
MIDDLE,Nunu,0.054724317
MIDDLE,Veigar,0.053675402
MIDDLE,Vladimir,0.053364996
MIDDLE,Kayle,0.05329805
MIDDLE,Diana,0.05296163
MIDDLE,Zed,0.051332317
MIDDLE,Ziggs,0.050785944
MIDDLE,DrMundo,0.048892792
MIDDLE,Ahri,0.04701543
MIDDLE,Corki,0.04474816
MIDDLE,Zoe,0.043954536
MIDDLE,Annie,0.043780953
MIDDLE,Lux,0.042456582
MIDDLE,Tristana,0.040236015
MIDDLE,Sylas,0.040093698
MIDDLE,Seraphine,0.039872885
MIDDLE,Ambessa,0.037297796
MIDDLE,Karma,0.03687623
MIDDLE,Qiyana,0.035874452
MIDDLE,Lucian,0.033294555
MIDDLE,Ryze,0.03318421
MIDDLE,Lissandra,0.032981128
MIDDLE,Viktor,0.03231812
MIDDLE,Syndra,0.030807935
MIDDLE,Vayne,0.029538784
MIDDLE,Leblanc,0.028021915
MIDDLE,Kassadin,0.027426038
MIDDLE,Mel,0.026424244
MIDDLE,Sion,0.024489507
MIDDLE,Naafiri,0.023854626
MIDDLE,Aurora,0.023315292
MIDDLE,Chogath,0.022961428
MIDDLE,KSante,0.021520264
MIDDLE,Anivia,0.020994756
MIDDLE,Irelia,0.018653013
MIDDLE,Hwei,0.018479368
MIDDLE,Brand,0.017492566
MIDDLE,Smolder,0.017486863
MIDDLE,Kaisa,0.017248422
MIDDLE,Aatrox,0.013138919
MIDDLE,Briar,0.0125857685
MIDDLE,Malphite,0.011499247
MIDDLE,AurelionSol,0.008103754
MIDDLE,Yone,0.006595989
MIDDLE,Velkoz,0.00013404501
MIDDLE,Garen,0.0
MIDDLE,Mordekaiser,-0.0005280207
MIDDLE,Xerath,-0.0058620665
MIDDLE,Morgana,-0.013123349
MIDDLE,Fizz,-0.015970329
MIDDLE,Malzahar,-0.05636635
TOP,Zac,0.11367513
TOP,Quinn,0.103094205
TOP,Kled,0.09105675
TOP,Tryndamere,0.08775148
TOP,RekSai,0.08231116
TOP,Camille,0.0793863
TOP,Neeko,0.07742638
TOP,Gragas,0.07671473
TOP,Yasuo,0.07504401
TOP,Heimerdinger,0.07494582
TOP,Singed,0.07434749
TOP,Rumble,0.07321982
TOP,Riven,0.073098645
TOP,Shaco,0.07186017
TOP,Galio,0.07128564
TOP,Rengar,0.07055391
TOP,Fiora,0.07026944
TOP,Kennen,0.069898926
TOP,Zilean,0.06977218
TOP,Jax,0.06905603
TOP,MonkeyKing,0.06888737
TOP,Pantheon,0.066760994
TOP,Azir,0.06643887
TOP,Poppy,0.06618031
TOP,Gwen,0.06581404
TOP,XinZhao,0.06531454
TOP,Cassiopeia,0.063938044
TOP,Jayce,0.06352685
TOP,Urgot,0.060069323
TOP,Nasus,0.05883103
