tier,puuid
GRANDMASTER,5ir2XWzDOENSLhwHMNxekixduZIzErP1qjQQNUkq2U-a4wn8AGkdQL73a3BhS1i4wd8QRK7418hgRg
GRANDMASTER,w17wYze1E1zUuvyT-GtrWnMMGRoKNRBsDe-YeLlWN1Mj-Y29zmaztgbiNAHyGaZcpm_dAT-8I7OsTw
GRANDMASTER,R2jnb1ZBCaRSkdgbA8bNlmSzpY9CFLwV8d5EQ710HSu944jQ06Vw8fhBYOLxLG7PWyrWGjWmTaxP9g
GRANDMASTER,QudnwHyEAZTKhl1c2qI5ujOrlyW3ikhTCKfWyveBFxRSht2HqagstKDIq_Oa2AFXCQMNP-XGfL-jZg
GRANDMASTER,g6_11l42jXlOPIW8bkuE17NqBa4Bu0l71fC2Q1VUVaN_uRIjgT8nU6daiW5ZOMxuF5Xj4OzTTgbSzQ
GRANDMASTER,pEzOOf34l5tLXyhoPZnYwZQZ5mLGsJtG9x04tdsOtvjZxPC8aVwAbkhDJs-AvYrMmg6ANp85ejed7A
GRANDMASTER,0twWuJDZLJtMwCIepI35nPoWJexVGLTz4XsLFy7OyVmc5TFOPbnAXA1Cf0sLImB78IpuolBfY_hibQ
GRANDMASTER,DXPZ35YhlbCLP-GNU_0GHt4pLCG8wHmrJNZD_t3dxRmPgVknoxq6hBvlAh3u5yQogHncf0lmmtkwtA
GRANDMASTER,6mSt3diwi7nbAotmywb6VHxGTSzzphJjufKvXuqSXY1-MU59BhaiTHFYDs-7hte82CInFLh8E0JMgA
GRANDMASTER,sqiJy24dyI38FT1joLs9Q5uTVqBOIgmQ50soK7VmpCj_z_GV0QjP9Hje63EvslDHWP0-RwjrVeLEWA
GRANDMASTER,ivi47QQ52nglN_fYywbS9ZtoPfNP0qrHKpb4InBSnSddQWEusjMusGc2uVC9gBmBSazvoFrkYNX52g
GRANDMASTER,lbABu2wW5ofojm16sa_au4_IES4HAvzkZOABkMhYn_bFSmPW1EMBPA3L1JEXkgaJ4V5L2dQ6dAYIsQ
GRANDMASTER,QyVQNJHf3UnQxGWY7cLITKYqQv36uEurMFApQpVOEfUuTBtlqnqjak65foeVydHSHFX-jMnaYlmstA
GRANDMASTER,xNkUElp1MwpQVJPk8IBtd4kq1GO_g5FkxrVOCzsAm07jaR4DyvXgqPU6AOx_BQD9RTHLji_2tSfoVQ
GRANDMASTER,eAJ8_5yy9gzcK-hZRYQiO_HKmp5QqpJrOkN61vuALpYAejafxwLwIIOlz0LMjvqEq3c__Z4yi3LxRw
GRANDMASTER,l428eDvATR5yvmaoL4QkaY8l_IqLAFxFpHqRwuv9PWp6j1lKDQ9GROfareKVS_JaMZFXCNh0xI6dow
GRANDMASTER,ITuXc_4XbGorbt9YDCEJNqmpSWCK9S1KTEOeFDXcs142ixysklAOMiobZNJqR-vOI8EiTBjfTxXkmg
GRANDMASTER,4uvk4SdSpWsd_GmN1pzOl5tfE_KnXm4yaHFoz5WJV03XgsGYBRPZ8vyWSbcoNNBEOoNbOm5OkIEH-Q
GRANDMASTER,1mCOp1NNZgh_rRj0H3BqK685nFl86azR8CWEL7CmshnFdllYOwu91ehwDr9LH3c46bamIQBa5FY9lA
GRANDMASTER,8MOxTaf7PUkc9jfvk8u8oLYe9iUUbBHEvZyRXVLQaxNt8pT6RoyZhQqNGeSov3i7P50V3q7enLJ0bA
GRANDMASTER,eg308_YKNLG9fFhg0Jlppn2E-GXTUW5b_Rbn4blf8fR5fLLPN4dGph3ML2I_c18vaRULTbDHhG5qRw
GRANDMASTER,f1yG4ypo3Mj5wyZvrsW1TwV6c0CN2tTbZ9INTbtRY-SmGAj_YWxMsG1AUCTnR1xjrrlRDdlGVkIASA
GRANDMASTER,cvexFuROZJP-F2YAskfh1QxqbzCVoahCucPtMUlrWKC4EaKn0oXUBr0DEFHYCGndc6EQ22mzUqHpIw
GRANDMASTER,XBvQUe8l6lmlm489UH1O-W-sTLGhbvSG3IHkdxU0uDz8ZfTaSZllobM-5KFlg-K2wWJw_W639h23Kg
GRANDMASTER,odTPa1Wl-SDKT6ku4R_p_u_sl7hOocZAY1a2aLKcjN75pR3t1AhEUCebop2prQsbQSnQwAzgiaDlcg
GRANDMASTER,FY8J55KHmHRt0VzIa71ouX7Ek4nLSu-2W96b4DUl0-IGBQR7RtFanN0wdFcggF71b4uYwV-E5b3lBg
GRANDMASTER,2V6Ic-221ApRbdRiKSlkONqXdmyWvAxM3mGe80HoI6G9Ge2oWv8388lgNHP8TlANHM68ZTGzkVpELw
GRANDMASTER,NIQ3TOPOUTtQHItgz9nC8rES9FVEezVd_CL2P5ZJB1SqvaUDS-nY59Ywk8RIuQTsWGq-frRNV3-04A
GRANDMASTER,pAqL0KKHqLoqzWBh2v3K6vVL_UNm-m7mVd1pmO0hVBv3LTEHIqSJz1eKf9W9iVLCy-DVYj41ZvaMEg
GRANDMASTER,rep8Vq4qLwFCbA-cDqVnGvFjteh9QAzb5MD49Vncqwv8StU7FA46goSsnk_eQ97gGgBE58VgZrHKuw
GRANDMASTER,z7NTjsNEmIgKIx-djxmSbCm2FVSC5CGuQt-yMcK87zT5DJRyjm4DlEH9Ml88B7gGs9SS6JWdT6R6TA
GRANDMASTER,mbsePahsiE_5-hUKiZIiMv43HmhhtsnkFhtRY-vHe2axNENy8y0HYoPzpxwx94ueQg3b27zdpWhxGQ
GRANDMASTER,mwZI_EWFz_feiqwgUwuHwurBMm98zz4M_zd6ET6rYmB2oOpzE5BW55IydmTF13pCIG5qZ9WWaREtHg
GRANDMASTER,yZ36BMqXIEB4LrR8sA_CJLpFj2GDRV9bUcQbqG0gAT_NRwCx-kWK2pHidiiZwmzyL-3Yx5qpPVk9wQ
GRANDMASTER,VQtsho13n2NTzlhW7_h_29nyqQlaznkx1G7YzSScAjgIBoGvWI4EuQ1fJbDICe9JvB18FIsqNIAOKQ
GRANDMASTER,WlGwUX2fmmph0jAU-qZPzac0Mt-8IGfpsDytIz2X0G6CHERWeZAkCchjqsb1pQQzghfuVC02vx-A0A
GRANDMASTER,ftSDvENxJL9_5TmdW5hThSvgBwn4xdONmHtMQgsOvK6Lcl70TlDsIISiA7xqd5ln7UhaDW7wBfFi7w
GRANDMASTER,rQYx6BkIKXbFEvyc8gMF8a_uqaLsYP0inRtX2HDTD0E7R8ot8dAR9sKoT5L8KOd4lV3lazRO5bDsrQ
GRANDMASTER,isY4A3kmD3h9Soe6szj9lQBr0oVvDS8-_qIASru22bvqI7nGEQJ-ldtGYz7hTHYj358RaCxYURTZ3A
GRANDMASTER,2lYbd8og2hV_16kerKBuAMoDgPE4GqM9Il8JrsXn5r6qivxiwkM0jC0b9XWnWRUIG5gGBdm62NOGgA
GRANDMASTER,IaMSXy7wS4njjy4Gg0lLH2XKfkOA0rLZ9kSxQ_P_FwlKuCi3ZuwwHPIpG1GQgpNz2gq18f20Y7viYw
GRANDMASTER,32sNeITp93S3p1WAgoc910NqzS6Wbjm9kmYjXXfjwZHiZQX8sOm5Y4yQ04EijAlePlZDa5f0LniLEA
GRANDMASTER,Pz1WLHt9lVYBVzZ5WyydV8ol7Uhv6znzzEtNinGQKWv7jicPvXIn-NmU3nh4prDRm3-z9fhVxE8P-A
GRANDMASTER,xd6-0-TNgtlCzWwXgtPRHwiVQWp-1ocp5-UWOgjEFBpQT4DUATW05qiERc1CIc1m4-va6kcqd3IsEg
GRANDMASTER,1TGAYyhlc86FNTt598jwxvNrthWq8JuAr93c4CLlJ-7Gfn-0hzA2jWYmineGTNbGcplRBMIfoSs-4g
GRANDMASTER,FuENmHnAlrVLs91xBSIb1plghvMJGIG7PghMVbAxhU2i-BCB3DOwLut-bDBBSAIX_rCaQNWQYMyOPg
GRANDMASTER,nEP6VdJumlIai1PqYlZW6xzUg_m3dIHbfEW4XZGx1bOTvdwVgEtaa7bYysh8254T5-Pev7owS_I8xg
GRANDMASTER,YfHivSyuCoGqNvextpz7w7uug5QF_Be7GiJQsKw3HDrUZO52IESnZ4knzTdRCh1XCo0AEhTa2p_7ag
GRANDMASTER,54lzvTLcBXFs6jwOKhsQIL-VVOT_YhZ9lWKcq0KCrblLl4h_gwfjiEfPBc0kp7RbF3V_64iVqxyZEA
GRANDMASTER,EwxKHHkaAmtbLQqlRo7PpFXk-xLjSh1zXrCkXvvRoQhI6hm36GeEA7WzG2D0dV0pW6MR-v72YA6bKw
GRANDMASTER,kBfAnKj2-Hf12BF0TWIEGlw1N9DeOwiqd3y-yEf7C9DxBdeTm2cMkXQpocIMd-ZeoOzkVGc4kxbD7Q
GRANDMASTER,JO3oC4vVQSqXYmKECyrhyEo7RHenrTY4B97XvfiLCeYZTTEkJIwsX0dZfssKm1chy9x3lELDNt3Wvg
GRANDMASTER,tyzV0cNy4VMseuTyUN_YAx5RGobmEuMJZSKMDOcI3nwSGaK331xm-AZm1mPQyTyKgUrGiNn5HDo3ZQ
GRANDMASTER,UlCawbv9udHjHsEjmTRnpB9GS3CkfBpGCZLNa8spFkoMQJuJqHKv33iT0N_bhO9lhcUBo94SYKxkQg
GRANDMASTER,NGZDukaraMTParsRRV3-G6rLxXC7Bz24RNE4JyJF7GfMvWTskyLDsfW2_hz67HkrvHgjD6QnHHHsTg
GRANDMASTER,opwI5OW-Hf-kydkkltTaw-wJ7u2wfTezPwhA3u3ELsSMQczg8tahveaG8iiO_BoGCsfikyDCnRF6bg
GRANDMASTER,5ClYZb1aVqFNG5frGLdJ3YfAXDxmkBpVuC_wmHScIhxjc8YYyOOnQYz4x8bcvRhjOXzNG5YGr4N6Qw
GRANDMASTER,LzS7QsC_8MfywTkpLFGKZe2DqPt7HFz32CeqxgfwZ4WU0Wj4nsjJbS5ilqk6lbj9KGnrgxeNDpgT3w
GRANDMASTER,rIMHAUZ-NXrPpfL5gcMCVMQ7K2E1sjnsxjJI7CvDD7WJzZHJJQG8YCrWF18Ln8CbfDpE5HYmjkzQEA
GRANDMASTER,rHRtBLKxVNBKXglVTzu8WNemIiOttBQx-QEK2_ZHzUxAhE5dyjFpSXVxOQbfMRYO9laZHN7IfuKU6g
GRANDMASTER,hK1mD9GjolBO2tQsjYgLUZO_10eoLuWS-sNDP681IUtzLq69Hrzo2xjRVQHHC2KoTR4zOh29PHQBWg
GRANDMASTER,IsOE49PEVZFwxFUo1VmSqKhkm6osPS9x56K2LlM1euvSH1OFUjs-mWmiJzJNatckoDjJ2stIynrflg
GRANDMASTER,Ml1vh7xF37iicLA8-XFrpi00fGvpTHdefQTHT4SUsT28-TGHR_Ex4dC3X8sdEj3pAE0c8MHEUOtjIg
GRANDMASTER,Ep8kAqK5QJsNF3yW3vJoC2qgVsW3mHCsskM9e2WY8HzfbGlJLriYs2e1oA9ltf7N-F1EuO7nemCzzw
GRANDMASTER,LXKHbTrb-JzaKjhZBORXBp0d8x0RxInfg2f4VCDyJ6VDw_8-7W1Sg528GuQMZghSM5FaaJIMBV8umA
GRANDMASTER,UTtp7GJWe7xpurlnf1p1HNU68GIyZePYeh7_v-EE6cYWWrz6avuYaEVQeDSjUGkxGYnjOW3nWxKbKg
GRANDMASTER,xz5Bb_Lxq_CT_3xItsH1pEQWO4Q71H6pCZTrbmPSgLMBA1x4qNfWrTiqPjvawfyTuWpU_I_kf1vZJQ
GRANDMASTER,scrn4qZEEuYVgQLNQbzXedHEK_hu9NJb-HklIWx_11_bctBrvHxDaU6chn3bfIslQekNywK6uG_Ngg
GRANDMASTER,40lWFceyN_qHcqk1eOLRKVu7SB2jsuRELqY5qNv9NneF62Iez6FqFqWPVcz6LgMeYZ0v-Lan7kmleg
GRANDMASTER,g92PpCyUhAFN6JXgPSwoU53Y01ePdS2QeQhN0ok-txl_wksuAtja43k0s_QnhXzJuBlCG5JDPq_gQQ
GRANDMASTER,hWvrcZ6WRBV3nWCGIXMbUn2-n7V4A0NFf-HLNgE0-1ZIZROiujmxfcuCPdIV3o9kJ1rC-RoLvhGbHg
