tier,puuid
MASTER,jCnGUIuajA7d98dEMs7HjRlvzCQ8sYVEfHSk4SG0BCxTl98iiO5AYz39COlBiMDcFXtv8uq_r9CA5Q
MASTER,l3HjmI4ypg5JJOB0jo-lrzkOIaI_9n5ClF8liYOOj8mXP06BplPDsIVXFl0RZ6SbkBTbQ9Y3dvd0Iw
MASTER,IG4usjUQwCDIlW_Ycn17VpnfClzu3T8FHN3DB8qB9g0SgKkAztGIQcxHMEiRJG6cILrkfPRvZK778w
MASTER,H4P6NgQnWZR2O2wSNv0tst4ba9Y-OW3FaPnHsgpW052zxo6H4NhOzXxBrYX9IZqOriD0dFS_hKvilA
MASTER,Z8PdmPJ-VDf1jP0mBBXCrQ_ohPTJxDcAw8ocGtht0EzCsZp1a6qMOMXCU6-NFtsZAvzB2Yw246az-g
MASTER,0fJzfZkeGLTV3XsnvXMEkmF7RfcL5JYMY9JlwzbotIf2b3mOQDBFGp4ox93BNGdRddAQdgCUiyxTnQ
MASTER,k72CbDRbg4B_1KvDRZdos0HpI7dns1KxN6-kX9xuM0Cjjsk71TQozdQQELTt9r6Uxdjy6N80Ze5jXw
MASTER,JJ1NGpJh2p4FJsSjPApnOxkyECWROKh2lxquKSuW0Ha3hAFIyiFpxP1g1frNTH8rDhOqLZ_BuefEjA
MASTER,EnZm5W0fGuK4FcZtTQV4WrRi5c30_QWttv0JjOC_zxfBsxHQ5_1a3Z_gUUiT7ubn5NIFQIx0Qn7RHA
MASTER,NNSmIdmHUCcalzFIktpH3UWNt6qfo3ugZvpu_0gA9sUdY3A0s8wmQpwLdE4uaqseBVmvf8SdJKDGpg
MASTER,S34SKb6nzIDxAtugCrP_UuWVOvKNnio53PTiuTVveuq32HRNQ582bPFq2_yW9moIchRyjrORXbc7CA
MASTER,UTW0EVt1D3d6uqljhcjAxg8LpVth4kL5rieUEZvgnuwsMCX2pXtRKnSMStOOXqiorYDOj1yLTnbW1w
MASTER,tHiqY2M0YZSvHcwfX9IkTJdZFJfDmw_llKV2T1fMHSUd4b4kICWOnE-KYo3b-vxbQHwrivKhKoDsgQ
MASTER,SsS67P_5yzWo9xE0l47jyIJAj920nWVzAmvOHlK-vgESHT5iQpg6SIsFCQswLD_r1ZmgUE7uQBCwFw
MASTER,j7R4fGDxhGCzrx2W0aX4Vg3bQUFBr--9Tgau66gKgKSnW9tKQCQOGQ0pbC9d2N2K3qlCtQ15ezCmKA
MASTER,vjCbF3J_iLNbsZVIjCJCTGzDx6BDb5BfyPZP2OKMcaQC0tf4JlfjgkSrxRH-lqUuXqxCvDQ4N9V0Gw
MASTER,XKkqUlaw8iqcqOG0q7l4ZIBeYpj8mph3mphCFfIQLntWnFslx4D4tPKqP1_Eh7gRNaZ8EHI0k52jjA
MASTER,XFAze_rAU0nfY1ljq6_Y8vnItD9L5LegYySOhLllyrcgNLqdfVnsuDbAb-ff83Al_nfqTFK5VWLDXw
MASTER,mhAa7zIBOLt-YDahdIM0WQEGlAyEboy3f2ME-5yWPXbKop6F7adbje4pX60oQtWZ-sxus7FStHeQAA
MASTER,MPEEdNkF_ArA2xs-r6AQP_euk7wpIMbn0PLGnSN2ZYRAjJsQDQe1cQQPWvVTDebDld8UNeencO2iDQ
MASTER,OdKnAEHynif6paddHV19M2vGvlhVc3y9pBmBxj2bkuuUfhfmGwSDACab08Su266pM1xmepGGjpPQpg
MASTER,wvW2hP5j3BgNzTk6o0DY4PUJ62oqIp0V-c5Y_QdrtCgh1ryNPwsl9_U-Ds47T2sqg0_VoOzAxvKohQ
MASTER,fMeoOqeAdH_KHCjUkcJ2SCwZc5LAm-iHxeYNWYpJehc-VKdQCEybRW8Zs5yoVHW82jL561OjBA0Pig
MASTER,pJBvyjv2Jgri6cDXU4NDH42Z_HaqZ6bMWc4tU7eaHHmUe_W6Ivi1b5Q8CzTZJi8DsGPPCgo_PKlAdA
MASTER,19ZWdnISSrzN1TFRifgNJhXGVL_clxuRx7FlINd5ldY98pcgU7bxWph3apaneUcDvckk4kUjvJA_dQ
MASTER,SUNXt3Dcl_bnybWeQZQ9gfDmnSh6Gyc8PBfVR8huABeEDFXAJ_VnWW5UY7yk5LoXwVxibnwISSzAOg
MASTER,_bsEq9_tkMvfq_kaoYCz47AJk5zjlA63ZeIeYKOP-9zgT-j-b5jhhf7E33uCggOrwHdSPh_ly6pTyA
MASTER,oaqtHPh2uiX9EBphTFFVHiaylsi4VF-CQ1HxKsseTGKB8FRIr5S7KZYkiqwhcMyX458BW6nyz58Amw
MASTER,SYYzkZky0u16i_mw8YX5MeML5gvISNoagKWff9kxvNf4ovTxkG_Ai9ossF9kgL4r1OPxJYzP_mogkg
MASTER,QAW7dIhU4xcOp986vDBYxGGoVkd_iCPth1RWgfZl9DtHE1k9p2xCqNAPnTfaGiMcF8XCHJBPRjgmNw
MASTER,cg6JLT0kOky2U0yWOJrFq7KkYTGwQzRLZKgMlYFXBm_w4xBlRNuhcNjCR1LBHaNVqUwRYba5eTiF_Q
MASTER,zNnXlAk_zTlzWExH7_zspRxQPCwcufnx-L7mlncmcdE7r1lu_6Es4ZbXnqgiY1EQ-4I7DfsbT7zZuA
MASTER,pJGpUXwGiKOm0Z8cgD-rsJTwsdeVIcci8YPOPlXfmtWO82CdXXUDrXWQUjhlY774vVRVheMys8gI0w
MASTER,ucp6qjdAA0SfVPr-hNeEZbzRm3AlMRySde2-DPwSgqduvd3rKqbhMs9tNRbRtXA5vQe8V1XTHoZGvw
MASTER,QDj2sc8u9401vvB7H632Zq24ZWxmh05K4FraVV_bjBKRhZ_-DRQcTyTMlwWaBr88HrXV4OEkEb8Xcw
MASTER,LDj6c-L3ewHfRcdvroCvCHd6Uk-S_pqJrDbLEgjvGQLdEAwF3pshm51w6_jV5deN6vfbQLTAO0yZYw
MASTER,l-GvRHWl0KCxdHJ7Z4Vr7L3TPG_f94ztT9yzhtdnRaAPexEZjfYEgbLjNcXlvTSbsi84V5SRE1lLFQ
MASTER,OBgIEg8k8NYjV0qruayEQQTAzeysSGlJv6HW0tYfkVW_1DWdQZ0Xj2jBV48_3ZZ1ZQIsXWM0zH5MgA
MASTER,kOMl7K5udIDdWRcAckVaVb7Kxl-OiwYr2gATUyHiPmSBKFM6CmpTweTrQivbUg_T_bXSoqyeK38k5w
MASTER,MCZakOBMqfzVoCrEG1LUC42RTbtmaSAqZGwZIuB6tsAtWKNSotmyQ5AtmEx4awjL6NAYUmvDH3K2zw
MASTER,E2xNELiYoUCU8XTzytEA1_ZdILfBvhL_VwAsZ8az8YOpB-6syBRmlOXNaKAYdmf2f3LR2tTi2leFOQ
MASTER,8eLncmvxDL-wV3Xrv4OTzWDzz7-eZijacz4qrhWJ9oikGk8f45HHyiTtvKcJJ3xBHvUqZM45ie6LGA
MASTER,WnGFdUD7iMG0WrRCar0jaopKVJO0FQ53kifzPNS7pYKCuRSA5HF6bc5e6iU8yN4ZXvFlVhLjwP3xrg
MASTER,nB25KLhYXiHlWoi3HpRn0U_P_c2W-x6qPmDeXNm01DfEvvJyLrp5ee_LpfZGtfjRW5Rg7ko-ycon-g
MASTER,QP2xoU6YS9E7A5ftk6h80h812gnBFnuEEpxcWrtu9jHSGDxDfiXV3RFoxeCGWjDWzdl6TyUbqpWThw
MASTER,CMtYKpkqmmfWxtEYENranJnbaUvizZYRhaJ1aLEI7KSIGmDZmHMMfdkpVHOzl_dLkPkKWrw-s9r_nw
MASTER,TwrAsZBMbbwG-EpZDiDlAF5_As_kgVZFCzWUEnWBpZoEjC_8b6nd7-_mk8JZsa0bDC94UjvJUl-x8w
MASTER,Xce3QHYKC7EMeJw0-KbTP2eONDvLgkf5208r7RpXgNjvrzJgW0D_vDckxKcQo6MO57XuNL0WGIlS1g
MASTER,iOy51_we_4HocHEyYMPN6TxA04gR70VJb3bEh8mvg-7sW0DMxWl0Ejx-xQMtfPYMxzRCmlFu1GIL8Q
MASTER,1l2H8vpPabE76opGvSkb3eI9J6Hkt1Sx9uDT0vg8n6jWi12udUuzcioUItJpm31Wav1k-vWQgavrvg
MASTER,cuoZgE__JMn9_ftuTukzdg8eAl09E-YsiREtoKs7K10cx4wsIcmW4kQ6738yLLTk4q9MwCeYs1kDoA
MASTER,J80BCIvV0q64lvYDoIYh-x5cFruHwc3TtsIQiLYBxj8mxv4dBC1YdU4U_UJdM-mL4hs97roCS8m99w
MASTER,tYpdlq1H0P_u4uTWEZ_OOVb0Ch3zpOCan5U62Pva02DQZLqS6LtxWewB1UaNHZBvXHeXnSEoIJvW-A
