Role,Champion,ImpactScore
BOTTOM,Yasuo,0.08239493
BOTTOM,Tristana,0.07771924
BOTTOM,Velkoz,0.06727436
BOTTOM,Cassiopeia,0.06536873
BOTTOM,Karthus,0.06391306
BOTTOM,Sona,0.06081945
BOTTOM,Hwei,0.060034815
BOTTOM,Irelia,0.05207186
BOTTOM,Syndra,0.048878156
BOTTOM,Xerath,0.046437833
BOTTOM,KogMaw,0.04619653
BOTTOM,Zyra,0.04498108
BOTTOM,Sivir,0.042798854
BOTTOM,Nilah,0.042452022
BOTTOM,Taliyah,0.040067095
BOTTOM,Swain,0.040016245
BOTTOM,Lux,0.03805401
BOTTOM,Ziggs,0.03708575
BOTTOM,AurelionSol,0.03308291
BOTTOM,Twitch,0.031669877
BOTTOM,Lucian,0.031193111
BOTTOM,Draven,0.031192029
BOTTOM,Corki,0.030736301
BOTTOM,Viktor,0.028279535
BOTTOM,Aurora,0.027519248
BOTTOM,MissFortune,0.023658413
BOTTOM,Jinx,0.023574503
BOTTOM,Seraphine,0.019028839
BOTTOM,Veigar,0.0103041725
BOTTOM,Senna,0.00530847
BOTTOM,Brand,0.0039638444
BOTTOM,Varus,0.0025239582
BOTTOM,Vayne,0.0009438258
BOTTOM,Kaisa,0.00043684672
BOTTOM,Smolder,-0.0003820153
BOTTOM,Samira,-0.0022983153
BOTTOM,Aphelios,-0.005809768
BOTTOM,Zeri,-0.006965503
BOTTOM,Jhin,-0.0077859224
BOTTOM,Caitlyn,-0.009660851
BOTTOM,Xayah,-0.011947335
BOTTOM,Ezreal,-0.012320261
BOTTOM,Ashe,-0.014155689
BOTTOM,Mel,-0.014760215
BOTTOM,Kalista,-0.024382416
JUNGLE,Olaf,0.10875336
JUNGLE,Belveth,0.10801666
JUNGLE,Ivern,0.08636259
JUNGLE,FiddleSticks,0.084061444
JUNGLE,Zac,0.08262956
JUNGLE,Rengar,0.08221103
JUNGLE,RekSai,0.082056865
JUNGLE,Jax,0.06561372
JUNGLE,Karthus,0.06351847
JUNGLE,Udyr,0.063196585
JUNGLE,Poppy,0.06190466
JUNGLE,Trundle,0.060370233
JUNGLE,Gragas,0.059559345
JUNGLE,Warwick,0.05853646
JUNGLE,Qiyana,0.058081552
JUNGLE,Kindred,0.05751812
JUNGLE,Naafiri,0.055404816
JUNGLE,Talon,0.05436026
JUNGLE,Teemo,0.054068737
JUNGLE,Ekko,0.052590247
JUNGLE,Zed,0.04773771
JUNGLE,Shaco,0.046009187
JUNGLE,Diana,0.043611698
JUNGLE,Zyra,0.043231755
JUNGLE,Pantheon,0.042346034
JUNGLE,Elise,0.041417655
JUNGLE,Taliyah,0.0379903
JUNGLE,Nocturne,0.036390085
JUNGLE,Graves,0.036237657
JUNGLE,Maokai,0.03520589
JUNGLE,Corki,0.029943392
JUNGLE,Kayn,0.028118903
JUNGLE,Viego,0.022500422
JUNGLE,XinZhao,0.022447534
JUNGLE,Nunu,0.022000777
JUNGLE,Sylas,0.021987872
JUNGLE,Gwen,0.021707205
JUNGLE,Volibear,0.021396937
JUNGLE,JarvanIV,0.01836688
JUNGLE,LeeSin,0.017015042
JUNGLE,Ambessa,0.015508465
JUNGLE,Nidalee,0.015398035
JUNGLE,Shyvana,0.011093481
JUNGLE,Amumu,0.011040807
JUNGLE,Mordekaiser,0.010036437
JUNGLE,Morgana,0.009447058
JUNGLE,Briar,0.007598386
JUNGLE,DrMundo,0.006325089
JUNGLE,Brand,0.005691489
JUNGLE,MasterYi,0.0049091275
JUNGLE,MonkeyKing,0.0038505706
JUNGLE,Hecarim,0.0033506027
JUNGLE,Khazix,0.0023413042
JUNGLE,Evelynn,-0.0016443628
JUNGLE,Rumble,-0.003832143
JUNGLE,Vi,-0.004425964
JUNGLE,Skarner,-0.0064777886
JUNGLE,Sejuani,-0.024726814
JUNGLE,Rammus,-0.029179033
JUNGLE,Lillia,-0.05529161
MIDDLE,Ivern,0.09161411
MIDDLE,FiddleSticks,0.087304585
MIDDLE,Heimerdinger,0.08593509
MIDDLE,Akshan,0.08535456
MIDDLE,Zac,0.084987
MIDDLE,Kennen,0.08492769
MIDDLE,Yasuo,0.08279098
MIDDLE,Quinn,0.08173255
MIDDLE,Katarina,0.08029205
MIDDLE,Zoe,0.08020281
MIDDLE,Tristana,0.07920488
MIDDLE,Riven,0.07712963
MIDDLE,Velkoz,0.0685895
MIDDLE,Cassiopeia,0.06622528
MIDDLE,Gragas,0.06251112
MIDDLE,Hwei,0.061694425
