tier,puuid
MASTER,AbL1Wxi4vEyRabNs7YkbTGZAALDK9efpfO8nlnXQ6iJgLEUC2GNjwFoJUVhayU9lZ9NR-FZinTgHGw
MASTER,TnGG4unICGVou8bE6crCAngZkwWTc69H4g-302mxVPp2E_a_LowmsDGqAte-gDlhKqvw_dtNOtpL-w
MASTER,5MaBgWm0S7crhz0ICtNNj9ZR86mbFhbAurLPR9GPUHXrYyjtQSJaDoevXb0Y8QI6MHsf6IrMDLpvqA
MASTER,XM3vQf5eYq2W2WG3c3KVAKDnmS96t1vn_lAve2pR9-h9iAHztX2CkuILQtAiAermyHaC7wBfANs31g
MASTER,6WEWrFcvQEBlnxsd04DuAIDi-F_woUi0NC_XGW0PPidt5kqo_eZ-7I_p2ZSQe-T8oxwzLkCFBj9JGQ
MASTER,Hmf0jCf_2bLI2gF6UCdeMUhJMxvwFbYvoy93tS0CdMimwwUT_n1sv_g7sB1QXv1wThPqytd0erQ50w
MASTER,DzdVlgjhVeJCWhggdw8iu7YCemRQ-Er0eKL3xJjtv1oYxCSU5_8aDP5hDB4TVfjjBxjmq4YFK_0X-Q
MASTER,ESr4PK_GeYCnIlG4v3irS1DJLUwdO_p0pRUlDal7hJNzFSurExyqLUXolBgdUpEzIOxmVlawRJvDcg
MASTER,5YdwvYDaIcyFwyKtGbFDoIZ268GPjz2gZAsHlHQ8Gn4rEUYYqOlSWw4-92mHu_p0hugLy_0s0B0KBA
MASTER,vGd1-tu0BMppb10EHAOMlSOxt6umVvJYHXQwzzxfSsDFfeSm-FdtKYpccQTvzwlK4PvQgUQO1jWh8A
MASTER,NLHB2Rw4V9fgPuOGQt1Cqf3V1CEE3mM2Blcp_rQymyQ69oUFdnwU0_nFja2RyOqF9FEl750X5OHApA
MASTER,lVE6X1YNs02HXxePo68AcCPEmAUyPPCtclGgcbGWWy7tRP7iip3oDrGYAdoSmDRJJMD7WYnv3abXyg
MASTER,qwvS_o5-LVNs6XNkCsVn3uBslN0Lz0qRFu06WEAjj114qZdpOI1kuThD0Rn349W5xGUbR8-6GmSkEA
MASTER,uMLE7th3dVfNXLkyylE_GeDtvdrimbToxt4t-Wq0mNC41ekWYFjEb0sa1XB6ryzbrA3X-d6RZGwT-w
MASTER,gPAOzW9WrDeuw_PuvAL5Ffs_wFX3nXGXyMqdeVpXnqEgLgg6JU4KouXGMXyaff0clfOKqEO69-SIBQ
MASTER,wbPd6jRFH6wIZOdYdk3TIz0kiVAjwTeH8gDFU2VUtoE-sRpj4Qg75UcDz8ZPgrQaKiSy6JiKasIdaQ
MASTER,N3HNsMKTWVqXM-iYSomzcmBEgci71p8JUnKeHTTEjC53Wkc6JKW7DgE1ZB4xEVlmjkBkY0R403m7RA
MASTER,9l7IxfkX2YZ3FW_fmhMQAMMv_LOtt2NTQa46lI1eCjcWLCOSezkbIr7n4eInCwZQhMLLs2XhjNDzwg
MASTER,R2eEU_TKSsCG4ZbRZNuIIlPKEI5kgJfqs5kMk-NatE1yuwoJ07R8AaCIAn1sVnlKtn8KALoP5_1PRA
MASTER,_5-uu264BqRd6neHbNzB0n5pfM0YG_P7H53Y4mUHy66DmfTJfH9YQ7RCm0onRqHKaf_F_5DGTpJgQg
MASTER,dZyKDUvS4EZelHNOpm805eIDw950KplDYBOxClgMMRvNCUO46zwe8iClpHQFecvKj6psHcC5EFRbIA
MASTER,pPmrN39lx1ihWEAzjTGsljtAn6UDbgvib5HHQc5Ql0JO9jiX4S4ACR1IcJA0JA3-rACKOyeErpc_cw
MASTER,rR8lME-EUgUf-7IIBocOH7SCFMxnNzdsVC2a7iUjqcr7P8Dgrbp5MvjJLiQD748xZBQeVfgd8aP4lg
MASTER,nHcR792aev3fbTrrU62gF1fXCg0HDS6dbBXvigj1HUlplQf005EYyL4Rg8edZHgd3rPBfeyGWENAiw
MASTER,pe34SOb_jBYlitd21oKJx_yNT_3HpJ0n8Go667ZIm0pIz4AqXabVVH_GkEs3wLtUd7Da2ElJVTA4zw
MASTER,XJTpQ4w9XgABbUp6R1L0XnjRYYxhCyJw2mQeMO6MEXLVmr8bZ8rOH4x1I83KgXqlv7KaJu_2jeQAtQ
MASTER,ak5lKNQ39hcFXn2tZNDIjiGbPW2ptyrTT506-d_DTt1tDDYvlb6fPJPK6xKq9-w8NUvlUS3ekqgrEg
MASTER,ucl9nXLxNNeAq-kTfiV8f2Cjr3tD0UHkeJ9WbVsMaBCKx2mLb3eozj2iGzdsNAZ4-59DNC8JCZokUA
MASTER,SZ_V7Z3COl46PvXGlWm7nEB6HQzAFxvpYQg-CQCmNg-exyXIXekjFNlA9oivZGD85f3euGWhlCvjUg
MASTER,ePZ94pjXU6wDPvbuwjSr4H49jWWJUbaRsl9-OgmycRuA4N8LCO8kle9TglosLzmnsu2NkjOK4YlKVg
MASTER,r92wIB58bFuuQxkTnSWizVl7GxnvjzZ5YB8eEqgWYsW1JtJ6yUHOPf2MtCNjvmoR9mjvJLo_FjGbnQ
MASTER,ol_tdM36H3W4iAxO_58cWlMl-iYog8to9Esop-8ohxgv0keEBEKbmtKxGwZzn8Y-smX6Y0WIfQmXIw
MASTER,D-5AIwLkWB98xrl_0i06JRopRM55dTa9asyKpj-fsqbSc2iF9tNurNC0G6G34_6g4fSaqHnoYzL52g
MASTER,nlFtKRLIUgDD030lj2k_p5rD_1K_QLpRHbXiJ-pU6TNBl_s0i353EFBQY8cZ7vw-1BDk4gVBVA9BZw
MASTER,mrq8o5D-fJSa2sBKNlCVjB-QsdOT8aAXxnXMri1ebDrUS8b9exSu4Q-OjyHotz3sYsOVn4woohtHwg
MASTER,ku9Q-dEmiFTBtCCChnD7FOqbLzGBOmsrNpKHRlnCZVwxRc3aU5S2U5PCLLjK2PLkPjQcNOMNjHGrMw
MASTER,3grJFUIH5PytqxfGERSU4xyiKs0d6zFHSrgYTdwvRAdGYlc1407XNY_GbxUnwf3TMeWspwrq-lDXSA
MASTER,XenyPeBTHZuRucASZlWFhKwIKOjthff06BbLrutqnO3KQb_LonokCxKYiLIert8tNU-T820NDxArGQ
MASTER,ZPwaqisONd_UxF5EYjZ4RH4TKAZMwhQr0Pi9K5WjdWORHKbfUylszRfshieipgcEsrzGdD91pFRnRg
MASTER,KkuAB-JOFGdVJx0pUxolfhS_LMHb4-gr1p9fsSyADIu4t2ip9gb8cRzh1ucp_1Otv2ZthKb9m6Eflg
MASTER,Sfg-Z-ecHZbIvshDI06Rk1uF4GbWC2afCUQcEy2KL_W-16Ccu8QxWlEdQwFEOQPNVSqlhsTEgQFKTQ
MASTER,nwdQEo3BRoWrJ1xSZxyOk9OkTWvrFQM6cOz3D2NHN1TZ7vt2M8Q_0uWY_QU-r14Zpdjc7k0PhLC3JQ
MASTER,mtsNFFEpRqmwT_LdhIOpDpSKT7DsBLlnNq4uPyk__NUjBVSaXhIPY9RWR3elqrT8hL8fuRJn5K5utQ
MASTER,g6IzTcnqiC4j7F8EBQ2BduvnvFyNEWQTtrzFw7jbYpmsar_Jbs0bz18qM9izoVSpyKaW1mOdkWBJGQ
MASTER,KAJ4xrFjuLd3KgUriJvDO9NpopbpoFzr9AhIEarCqEjeJt9QhxHcopJkRppdCMSZQxSfkQl5cuu1FA
MASTER,iHWzMtRB3KxEzVK5Zo9oBHJsRPzpItC7Fd_aWu0uFV9zoFkBuLbFF5LOyP4l7eLWAwaLgSJcUIprXQ
MASTER,ORlTvTN99nVTR-y5K2V41iixZxAZ-H_p43TMGBtRtZOclf_OlOOrXN2V0GGAOHcMjOh2T9FzQMs35A
MASTER,kj--PhHsKPaXRM91HyEgKvlcR2Ehpabvj98jRTD4y2DYlBIagAb45BXedHvkfv9vXbJbrtCSxX_EwA
MASTER,IPfV0S3VP0aKOUpzTdLE7MbLH-_M_eVtNr2AIqnzVra3tggZ5RI3km8l4wOAEOCqaEJBMjFaUpuTzA
MASTER,-jLFZdrYJwRjdl3quhh3sDRIgrWWPJlFX5XDjGsmzN-uefkujhPjLRWkj-p4fwpio3NvnbryowOhRA
MASTER,sA8iy-wwSTx-g9uEhvQc3QsCDFAI28AaWMg2mLxxb8pcUdQ80WGYVk_BhswmA9EByELJOtDE8kOjQw
MASTER,rQc1xjJlqRxFVlqQyMpeunQUlcNgZL8zqxWn0EqywJ8XdAdllUuMD3DiH0YrxPH8wmVGNrSqtxkmkA
MASTER,TIyYxU7MP3-ceU69nqUJVOLlOrk44vmtoh3Jsthti5C_OOBauekUqXXqA2J8NPyuU-GTJvD8ZXARGg
MASTER,RoZknUflNKPzZTis-jJfseDCAba7OWCD28PymAvyfCcP66_Z5BOunTAmDfntWOOoimVQTMmJKgm0ZA
MASTER,2iEdeEaSDrzRlOM_5FJKUFmkA195ShtORGhMBC_4rdeiwHCiAhNaEQP5nmFynDCGVQXRc0Mcl3pB8Q
MASTER,yZqaXra7bcuQ-VBm6QMPumRb1rzZFc9if_KY5GPc2ZF8KOE_LfVi-RlJsRj6d1uhFnWWp22gpnCDeQ
MASTER,6f34GUo40rccI_613JIxAW_rrHOqE_RYMG0iJTsYw72g4qxEptf4mngAg_g1dVlezZJK4HNp2l1_KQ
MASTER,ILsaTLRahxzmvDYWGSb8FikPUVB32zlJTRBE7e4PP11iIgOSzt_183998rYivQMmQwavVppieLyL0g
MASTER,8FR7CSAM07O73S8oHQNa8MqrcRxYu6k9sGogJYQEkvp7M_6vRWnQPv_wXbJANRSGhebO1ep5LcrJRg
MASTER,uurdCd1o_N07IP2rvDL9ScoWlcTrMzxRjkP51WpAhlEqTljxk7aP6aqu_yWlW1OONMq1iB-zNc3zeg
MASTER,UwRV-glu_6KLt2zVOHs5n5alExZsu7N9Uu3nLcaj1sBZ5B7CYYHtKNw3dS4_pWQ4B1OyKfe1jprgzA
MASTER,JQmmktU-dLx-euSrOsEdAnx-pDu0urdVOVWr0kyppB6mxxeGgmwSwF3LX9rO5H46GPB8DVq0cCvinA
MASTER,Aja8kVJ2NNmar4sBxQTO1VOk1ifjOdSFWfprjnmyJy_8koJRXt7K3ZHBDb5fR4Bb0mfeGIsTv3zP5Q
MASTER,dRDl5gAdHI7IXoaFZ-dge0W_orByRhu5HlDFDGlrnqzZTFRtyfCBXP0GVajj1pSdFuRowBt9YyR84g
MASTER,ba1qTTGIxBnw3jMLCeCaTg4jHGjVGnSbp2ScW5epGGU74rm5bAThFlKoJpdwvsFTiZ5AMZDL2b_klQ
MASTER,tN0ye_MgLm2r7rzV1vKq1uGmPR8tEJvAH0pPf1-fOA8_4GOzfNZKgtFsy1fcad2qUFcXpgS1_7SIyg
MASTER,nzc-KMWHBmM_So-sXX1bK1XFS0sOkoF-BgJ-_bKTjpG11qTnoizfEZvy6UIhZ_dfqai1aCA-SHcWng
MASTER,RolMn1hF-3OHVGNDMJB9aMhbKEV6FBMuOio4JIlfQxtLw8zyT8HpuFjRoibasMYfFFxkr7bpT5weRA
MASTER,FV1L2RRKDdF9xnQOP4njUoWxwl-E7jVuXybsVqislV1gUe17Miw7Qi9wgdX0QkR0D393n2-DVzs60Q
MASTER,cK4OmAAlq6SqXU6puyyPeZErNPlTK8XZ32M6rHAXNnT8W60guKhk-bDKqxRcAoAXLVdHpaUjZP_yaw
MASTER,d1X9YyM1lyf8jRpKW2Iw9708h89m0ZTKhWgKwv0THTKbmpK5WYmqd-cQn9WwekOhEJeXdZ8TJ16b_A
MASTER,Nhi8LoPoTcITgL5j4r1GigftQQANiTxYqWUgRtg2FDIBneboIm4UaP2neKD9wADL4WrN2FQfuM2DSg
MASTER,-eLqcYni9xd5gN4CuZ9n9msMnYRmUVIib0IYWC2nZ1Bq8tM3BhBPKD4Z5cod6qcakzywKsnVZda6mQ
MASTER,zNU-VXHm3FJq64CLYt0QnNjwi3-pfezIB0-Oj1mCnj45wi1cRDRNQcGt91V4EcgmeSzjfhOyDRj5lA
MASTER,E1cyVpB9qadVYK1lUgGybD1-snlMkP4CF7HDCNQWzeT1-SxCkpvpEpDvYZdtej-zvTwSvsMmtbS4SA
MASTER,h7yNU59qslqMeKn-a1xEuMHgBswlmm6GeBVe5hXaf8fNr0qnXaMIUS3WXTWtfKYNaq_0OtnAxaQ6Hg
MASTER,x_ofW6jXXoV-ovEDEjr-HoO8v8ClGCwkDosz1jf_gZFZpayJstkMIaqle5KjWKCxHqaq8q_qKDS7sw
MASTER,G7tHAyG-PHSnLPRcNYJPRnpFtMe2b2Ws6jbbHiHspQTsPh9zv_BpcE5FsUNFhcwO68ClxZci0VL3ug
MASTER,gWidZHTeDTPiLn95pKl1nnsKIJ_wqCud45AopLwV-NcBdW6imzA6ZrIU5_b9zoQGvlqaESH3JCVFsQ
MASTER,nM70w_zYWzhyDw5KcQdtnzbIlcNIjHqMVLFddvVapSz7evI3ulVUV8w-XnRh5yT8n1YFVtSFxekrbQ
MASTER,c74GwiTBytO1HMLuWraEyklOeYVKtUGa-rRi7hwIYKBZTnvqlvQOxNQaATPCBaHM7wl7VJQroIkQdQ
MASTER,sc6tzPew1PT4ZsCGF7GvappGIh0pGwkyZUGjU2Wrnf1kp-uNjKvCVDeaKO_gUna5_oyxTkap3uZnOQ
MASTER,EG_W5nrNUOktwXcR2Kk_iy9VnLNqCVxEj8y-x3jh8VtIReA8dNYfnbQWN3RYfiiiMK9-8X75Fb8k6A
MASTER,SKcM2sevsBQ3_HskSkbGWCWCOEDSEWmZnB49gNgxhKYpLG7k72ksGAKqiENjR36qq2t8izLCAD9Vdw
MASTER,U3Tu1NIGYGhXikUyiRUV_-Lq0dtYZqRy1OcGSfHuOfplPpHmMj1UV6tFY3LSFyjLl8bF8lpJLkCNAA
MASTER,BnRh6H7B0G-s_khY04B6dcX0-gMoY3KVZC2NK2Unf87TFNgMyG_ffN-iivALlQQTGckQ_K9-mrTu_Q
MASTER,R4z3-gGFKbmxUCpiKolioYvhOZsaTsGW4H8ESQ7f15rVAnN9BLiPbReO-v6wNXufo7BCW0BPiDt0HQ
MASTER,XOB8EL5FsVoiVgSRTNrDo1jSp6pzQeaQ5i9VlRQrPzMGuyzjZCkXiNIHUIItFMa9_tPLBRS4EtcKlA
