Role,Champion,ImpactScore
BOTTOM,Hwei,0.07502455
BOTTOM,Karthus,0.07354471
BOTTOM,Yasuo,0.06776533
BOTTOM,Tristana,0.044446036
BOTTOM,MissFortune,0.04161235
BOTTOM,AurelionSol,0.040189974
BOTTOM,Viktor,0.028416317
BOTTOM,Seraphine,0.025291273
BOTTOM,Samira,0.02459483
BOTTOM,Corki,0.0243922
BOTTOM,Nilah,0.023574742
BOTTOM,Swain,0.015859665
BOTTOM,Ziggs,0.014897545
BOTTOM,Zyra,0.012669939
BOTTOM,Vayne,0.008968362
BOTTOM,Draven,0.007917186
BOTTOM,Xerath,0.0077312016
BOTTOM,Sivir,0.0018239222
BOTTOM,KogMaw,0.0016402956
BOTTOM,Senna,0.00117409
BOTTOM,Twitch,0.00090166094
BOTTOM,Jinx,-0.006716527
BOTTOM,Lucian,-0.008065228
BOTTOM,Ashe,-0.009441916
BOTTOM,Mel,-0.009557889
BOTTOM,Lux,-0.012190781
BOTTOM,Zeri,-0.01765123
BOTTOM,Kaisa,-0.020257814
BOTTOM,Smolder,-0.020461615
BOTTOM,Caitlyn,-0.02699484
BOTTOM,Ezreal,-0.028267112
BOTTOM,Varus,-0.03205873
BOTTOM,Jhin,-0.03312714
BOTTOM,Aphelios,-0.03505517
BOTTOM,Veigar,-0.036926564
BOTTOM,Xayah,-0.052418955
BOTTOM,Kalista,-0.07809138
BOTTOM,Brand,-0.087607756
JUNGLE,Olaf,0.109627545
JUNGLE,Kindred,0.08348241
JUNGLE,Karthus,0.08070634
JUNGLE,Ivern,0.07732636
JUNGLE,Qiyana,0.076299176
JUNGLE,Ekko,0.07540798
JUNGLE,Amumu,0.05994094
JUNGLE,FiddleSticks,0.051561538
JUNGLE,Trundle,0.05154387
JUNGLE,Udyr,0.05118147
JUNGLE,Gragas,0.05061177
JUNGLE,Zed,0.04754509
JUNGLE,Volibear,0.045588836
JUNGLE,Pantheon,0.044199456
JUNGLE,Belveth,0.043332685
JUNGLE,JarvanIV,0.038544115
JUNGLE,Diana,0.036283854
JUNGLE,MasterYi,0.0356979
JUNGLE,Maokai,0.035179053
JUNGLE,Sylas,0.0341582
JUNGLE,Jax,0.03415091
JUNGLE,Ambessa,0.031582408
JUNGLE,Graves,0.028225781
JUNGLE,Rengar,0.028056748
JUNGLE,Teemo,0.02708487
JUNGLE,Hecarim,0.024959186
JUNGLE,Shaco,0.024248444
JUNGLE,RekSai,0.021400025
JUNGLE,Kayn,0.021175055
JUNGLE,Warwick,0.018557072
JUNGLE,Naafiri,0.017212914
JUNGLE,XinZhao,0.015598671
JUNGLE,Morgana,0.014076406
JUNGLE,Poppy,0.013403972
JUNGLE,Viego,0.012636083
JUNGLE,Zac,0.010786483
JUNGLE,Nocturne,0.00972893
JUNGLE,Talon,0.007924887
JUNGLE,Gwen,0.0062669027
JUNGLE,Elise,0.0036846546
JUNGLE,Mordekaiser,0.003225039
JUNGLE,Zyra,-0.0044596903
JUNGLE,Taliyah,-0.0044633145
JUNGLE,Shyvana,-0.0045785033
JUNGLE,Nidalee,-0.0071564023
JUNGLE,Rumble,-0.00895839
JUNGLE,MonkeyKing,-0.010387357
JUNGLE,Nunu,-0.011923113
JUNGLE,Lillia,-0.014260656
JUNGLE,LeeSin,-0.016022656
JUNGLE,DrMundo,-0.01884998
JUNGLE,Khazix,-0.027658312
JUNGLE,Briar,-0.029347809
JUNGLE,Evelynn,-0.02968367
JUNGLE,Skarner,-0.04762935
JUNGLE,Vi,-0.048602093
JUNGLE,Brand,-0.06251259
JUNGLE,Sejuani,-0.07739725
JUNGLE,Rammus,-0.10883519
MIDDLE,Quinn,0.10551376
MIDDLE,Ekko,0.09047124
MIDDLE,Kennen,0.08554242
MIDDLE,Qiyana,0.084391646
MIDDLE,Hwei,0.078838475
MIDDLE,Akshan,0.074478365
MIDDLE,Yasuo,0.06900014
MIDDLE,Heimerdinger,0.067809395
MIDDLE,Lissandra,0.062205452
MIDDLE,Zed,0.059588384
MIDDLE,Gragas,0.05787639
MIDDLE,Pantheon,0.056594744
MIDDLE,Cassiopeia,0.0547228
MIDDLE,Sylas,0.05438559
MIDDLE,Galio,0.05365342
MIDDLE,Diana,0.051985696
MIDDLE,Vladimir,0.04851117
MIDDLE,Tristana,0.047084723
MIDDLE,Annie,0.046947874
MIDDLE,Riven,0.04685971
MIDDLE,Zoe,0.045626618
MIDDLE,Velkoz,0.04254783
MIDDLE,Aurora,0.041565146
MIDDLE,Ahri,0.040830605
MIDDLE,FiddleSticks,0.039914083
MIDDLE,Tryndamere,0.033033255
MIDDLE,Viktor,0.032909714
MIDDLE,TwistedFate,0.03267002
MIDDLE,Naafiri,0.03155773
MIDDLE,Anivia,0.031378284
MIDDLE,Ambessa,0.029761674
MIDDLE,Leblanc,0.027448433
MIDDLE,Corki,0.027253505
MIDDLE,AurelionSol,0.027002525
MIDDLE,Fizz,0.021682434
MIDDLE,Nidalee,0.021171588
MIDDLE,Swain,0.020156335
MIDDLE,Lux,0.019385733
MIDDLE,Jayce,0.018323503
MIDDLE,Zac,0.014825885
MIDDLE,Xerath,0.014688801
MIDDLE,Renekton,0.014633211
MIDDLE,Talon,0.013163584
MIDDLE,Malzahar,0.012720161
MIDDLE,Mel,0.010907182
MIDDLE,Orianna,0.009748954
MIDDLE,Seraphine,0.0089278
MIDDLE,Irelia,0.008228101
MIDDLE,Morgana,0.007892928
MIDDLE,Akali,0.006304074
MIDDLE,Ziggs,0.004433051
MIDDLE,Mordekaiser,0.004262505
MIDDLE,Zilean,0.004131079
MIDDLE,Neeko,0.0026028906
MIDDLE,Katarina,0.0024238643
MIDDLE,Syndra,0.0005750217
MIDDLE,Garen,0.0
MIDDLE,Karma,-0.0017617655
MIDDLE,Taliyah,-0.004036097
MIDDLE,Chogath,-0.004100417
MIDDLE,Vex,-0.0046211607
MIDDLE,Malphite,-0.0051655797
MIDDLE,Lucian,-0.006007373
MIDDLE,Ryze,-0.009042468
MIDDLE,Smolder,-0.009131915
MIDDLE,Azir,-0.009761656
MIDDLE,Sion,-0.0136567615
MIDDLE,Kaisa,-0.017079003
MIDDLE,Veigar,-0.01792877
MIDDLE,Kayle,-0.018071895
MIDDLE,Yone,-0.02331632
MIDDLE,Varus,-0.029828051
MIDDLE,Nasus,-0.030081015
MIDDLE,Kassadin,-0.068660066
MIDDLE,Brand,-0.08101664
TOP,Olaf,0.10203002
TOP,Quinn,0.090418994
TOP,Kennen,0.07947996
TOP,Heimerdinger,0.07759962
TOP,Kled,0.07518912
TOP,Yasuo,0.066578224
TOP,Cassiopeia,0.06564883
TOP,Gangplank,0.057470314
TOP,Zed,0.05607284
TOP,Trundle,0.054138746
TOP,Vladimir,0.05236727
TOP,Galio,0.049867425
TOP,Fiora,0.049615376
TOP,Udyr,0.04911946
TOP,Sylas,0.04847709
TOP,Riven,0.047045983
TOP,Gragas,0.04447487
TOP,Pantheon,0.043934144
TOP,Aurora,0.043789458
TOP,Tryndamere,0.03744228
TOP,Ahri,0.037198395
TOP,Jax,0.03652376
TOP,Ambessa,0.033172876
TOP,Rengar,0.032947525
TOP,Volibear,0.03138411
TOP,Ornn,0.031017361
TOP,Warwick,0.030669298
TOP,Teemo,0.030282173
TOP,Nocturne,0.029832618
TOP,Kayn,0.02914024
TOP,Anivia,0.02833276
TOP,XinZhao,0.026045723
TOP,Swain,0.025843782
TOP,Sett,0.025764279
TOP,Poppy,0.023011066
TOP,Renekton,0.019211086
TOP,Urgot,0.018988347
TOP,Maokai,0.018904423
TOP,Mordekaiser,0.018385699
TOP,Shaco,0.017453952
TOP,Vayne,0.016195584
TOP,Zac,0.015269622
TOP,Gwen,0.008422773
TOP,Jayce,0.007893909
TOP,Azir,0.006022003
TOP,Irelia,0.005659403
TOP,Akali,0.003305712
TOP,Rumble,0.00047221722
TOP,Garen,0.0
TOP,TahmKench,-0.0010311052
TOP,MonkeyKing,-0.0038067456
TOP,Sion,-0.0056464244
TOP,Yone,-0.007267277
TOP,Malphite,-0.0096653495
TOP,Chogath,-0.0103669735
TOP,Illaoi,-0.010709169
TOP,Ryze,-0.010775919
TOP,Shen,-0.01216325
TOP,DrMundo,-0.012327961
TOP,Kayle,-0.013506253
TOP,Nasus,-0.020787897
TOP,Aatrox,-0.02281514
TOP,Smolder,-0.025787644
TOP,Darius,-0.029706372
TOP,Camille,-0.03888215
TOP,Varus,-0.04009186
TOP,Yorick,-0.045500327
TOP,KSante,-0.051652018
TOP,Sejuani,-0.065155484
TOP,Singed,-0.065470815
TOP,Gnar,-0.10988005
UTILITY,Hwei,0.07333533
UTILITY,Rell,0.06614464
UTILITY,Amumu,0.06079623
UTILITY,FiddleSticks,0.056030415
UTILITY,Sona,0.055906806
UTILITY,Pantheon,0.05186235
UTILITY,Lulu,0.050180916
UTILITY,Zoe,0.04651693
UTILITY,Galio,0.046104163
UTILITY,Pyke,0.045999512
UTILITY,Velkoz,0.041195188
UTILITY,Leblanc,0.039526813
UTILITY,Sylas,0.037997857
UTILITY,Bard,0.03791048
UTILITY,Maokai,0.035403732
UTILITY,JarvanIV,0.03330757
UTILITY,Thresh,0.030036274
UTILITY,Taric,0.028485956
UTILITY,TwistedFate,0.028338473
UTILITY,Swain,0.027988259
UTILITY,Teemo,0.024720013
UTILITY,Lux,0.023778116
UTILITY,Poppy,0.020959403
UTILITY,Anivia,0.020485768
UTILITY,Zac,0.018842382
UTILITY,Shaco,0.017320102
UTILITY,Janna,0.016399266
UTILITY,Zyra,0.015079579
UTILITY,Seraphine,0.0119098285
UTILITY,Soraka,0.010315589
UTILITY,Zilean,0.0080384845
UTILITY,Nautilus,0.0053775855
UTILITY,Elise,0.004263634
UTILITY,Xerath,0.0038088537
UTILITY,Morgana,0.001846585
UTILITY,Rakan,0.00075882435
UTILITY,Nidalee,0.000755347
UTILITY,Braum,-0.0018801132
UTILITY,Neeko,-0.002345439
UTILITY,Ashe,-0.0025029504
UTILITY,Milio,-0.005541007
UTILITY,Alistar,-0.0057352837
UTILITY,Senna,-0.005973402
UTILITY,TahmKench,-0.009124264
UTILITY,Karma,-0.009292964
UTILITY,Mel,-0.010421067
