Role,Champion,ImpactScore
BOTTOM,Zyra,0.077292465
BOTTOM,Xayah,0.071813636
BOTTOM,Draven,0.07067687
BOTTOM,Karthus,0.06735812
BOTTOM,Yasuo,0.06714894
BOTTOM,Swain,0.06097921
BOTTOM,MissFortune,0.05708369
BOTTOM,Ziggs,0.053747177
BOTTOM,Veigar,0.04899215
BOTTOM,Lux,0.04368131
BOTTOM,Tristana,0.042571723
BOTTOM,Corki,0.042527568
BOTTOM,Samira,0.03829783
BOTTOM,Caitlyn,0.03640384
BOTTOM,Seraphine,0.033621963
BOTTOM,Vayne,0.03235428
BOTTOM,Sivir,0.03202792
BOTTOM,Lucian,0.030571237
BOTTOM,Mel,0.027061095
BOTTOM,Aphelios,0.023358162
BOTTOM,Senna,0.0226672
BOTTOM,Kaisa,0.022634245
BOTTOM,Jinx,0.019304045
BOTTOM,Smolder,0.01873724
BOTTOM,Hwei,0.01800129
BOTTOM,Zeri,0.011094498
BOTTOM,Twitch,0.010516756
BOTTOM,Varus,0.0051815314
BOTTOM,Nilah,0.0031442065
BOTTOM,KogMaw,0.0024606637
BOTTOM,Ezreal,0.0014963239
BOTTOM,Jhin,-0.0038232924
BOTTOM,Ashe,-0.0059880633
BOTTOM,Kalista,-0.024100898
JUNGLE,Zac,0.11161258
JUNGLE,Taliyah,0.0950623
JUNGLE,FiddleSticks,0.08152637
JUNGLE,Kindred,0.079907864
JUNGLE,RekSai,0.07641507
JUNGLE,Shaco,0.07365208
JUNGLE,Zyra,0.072081864
JUNGLE,Gragas,0.07201797
JUNGLE,Karthus,0.07032576
JUNGLE,Talon,0.069809176
JUNGLE,Pantheon,0.069736734
JUNGLE,Rengar,0.06885425
JUNGLE,MonkeyKing,0.06828423
JUNGLE,Jax,0.068054534
JUNGLE,Ivern,0.06635494
JUNGLE,XinZhao,0.06597667
JUNGLE,Gwen,0.062463462
JUNGLE,Poppy,0.061493333
JUNGLE,Sejuani,0.060355417
JUNGLE,Ekko,0.059209242
JUNGLE,Khazix,0.055179793
JUNGLE,Nunu,0.052435327
JUNGLE,LeeSin,0.05159636
JUNGLE,Zed,0.05039397
JUNGLE,DrMundo,0.05006607
JUNGLE,Volibear,0.044008113
JUNGLE,Diana,0.04366009
JUNGLE,Nocturne,0.042841077
JUNGLE,Udyr,0.04031417
JUNGLE,Elise,0.038150515
JUNGLE,Belveth,0.037778948
JUNGLE,Viego,0.035526972
JUNGLE,Lillia,0.035307698
JUNGLE,Qiyana,0.033677727
JUNGLE,Nidalee,0.033244442
JUNGLE,Evelynn,0.030802457
JUNGLE,Kayn,0.030716144
JUNGLE,Rammus,0.030520553
JUNGLE,Hecarim,0.027371466
JUNGLE,Naafiri,0.025742572
JUNGLE,Briar,0.017612305
JUNGLE,JarvanIV,0.016210753
JUNGLE,Warwick,0.012616352
JUNGLE,MasterYi,0.012556103
JUNGLE,Vi,0.008240351
JUNGLE,Shyvana,-0.0068190084
JUNGLE,Graves,-0.008351988
JUNGLE,Trundle,-0.017896121
MIDDLE,Zac,0.12202098
MIDDLE,Taliyah,0.09479653
MIDDLE,Tryndamere,0.086798094
MIDDLE,Akshan,0.084856965
MIDDLE,Neeko,0.08037056
MIDDLE,Yasuo,0.07614884
MIDDLE,Kennen,0.07367103
MIDDLE,Swain,0.07022138
MIDDLE,Vex,0.06976627
MIDDLE,Galio,0.06713884
MIDDLE,Katarina,0.066572174
MIDDLE,Orianna,0.06615168
MIDDLE,Talon,0.065503314
MIDDLE,Ekko,0.064989485
MIDDLE,Azir,0.062083084
MIDDLE,Pantheon,0.060595475
MIDDLE,Veigar,0.059207395
MIDDLE,TwistedFate,0.056729443
MIDDLE,Kayle,0.055418473
MIDDLE,Vladimir,0.055087563
MIDDLE,Jayce,0.05449736
MIDDLE,Diana,0.05254883
MIDDLE,Zed,0.05073085
MIDDLE,Akali,0.04910619
MIDDLE,Lux,0.048692252
MIDDLE,Zoe,0.04726573
MIDDLE,Corki,0.04720765
MIDDLE,Annie,0.046135042
MIDDLE,Sylas,0.044072732
MIDDLE,Tristana,0.040693946
MIDDLE,Ahri,0.037499625
MIDDLE,Lissandra,0.037057906
MIDDLE,Ambessa,0.036550216
MIDDLE,Viktor,0.035832018
MIDDLE,Ryze,0.031828534
MIDDLE,Qiyana,0.030453883
MIDDLE,Naafiri,0.029404301
MIDDLE,Kassadin,0.029249558
MIDDLE,Leblanc,0.028127441
MIDDLE,Mel,0.02790897
MIDDLE,Smolder,0.025946701
MIDDLE,Syndra,0.025273202
MIDDLE,Aurora,0.02177578
MIDDLE,Irelia,0.02103916
MIDDLE,Hwei,0.017069317
MIDDLE,Anivia,0.016271207
MIDDLE,Yone,0.007814484
MIDDLE,AurelionSol,0.0059395484
MIDDLE,Xerath,0.0014164622
MIDDLE,Fizz,-0.016912859
MIDDLE,Malzahar,-0.05100948
TOP,Quinn,0.1039726
TOP,Tryndamere,0.0937682
TOP,Kled,0.08862836
TOP,Rumble,0.08259737
TOP,Yasuo,0.082232825
TOP,Singed,0.07862429
TOP,Gragas,0.07849875
TOP,Heimerdinger,0.07635872
TOP,Camille,0.07515562
TOP,Kennen,0.07441506
TOP,Fiora,0.07371348
TOP,Gwen,0.070986465
TOP,Rengar,0.067058764
TOP,Jax,0.06655496
TOP,Riven,0.06612025
TOP,Nasus,0.06601523
TOP,Renekton,0.06447503
TOP,MonkeyKing,0.060321275
TOP,Azir,0.059637915
TOP,Akali,0.059166137
TOP,Urgot,0.058633577
TOP,Poppy,0.057077866
TOP,Jayce,0.056051597
TOP,Vladimir,0.055721387
TOP,Pantheon,0.055247422
TOP,Kayle,0.053860184
TOP,Darius,0.048044898
TOP,Volibear,0.047664046
TOP,Ambessa,0.045734998
TOP,Olaf,0.044868782
TOP,DrMundo,0.040832594
TOP,Ryze,0.03787969
TOP,Gangplank,0.037174366
TOP,Vayne,0.032949034
TOP,Shen,0.032095343
TOP,Yorick,0.03189168
TOP,Teemo,0.027838962
TOP,Chogath,0.026558101
TOP,Warwick,0.025105529
TOP,Aurora,0.023492282
TOP,Nidalee,0.022866296
TOP,Ornn,0.02135529
TOP,KSante,0.021335477
TOP,Sion,0.017901001
TOP,Irelia,0.013013342
TOP,Aatrox,0.011723287
TOP,Sett,0.0111873895
TOP,Yone,0.011057979
TOP,Malphite,0.008120815
TOP,Garen,0.0
TOP,Mordekaiser,-0.0061324453
TOP,Illaoi,-0.024289878
TOP,Gnar,-0.03771625
UTILITY,Zilean,0.08011538
UTILITY,FiddleSticks,0.07598643
UTILITY,Zyra,0.074031584
UTILITY,Shaco,0.071153246
UTILITY,Neeko,0.06837172
UTILITY,Pantheon,0.064762704
UTILITY,Poppy,0.062940374
UTILITY,Lux,0.050873853
UTILITY,Sona,0.04945616
UTILITY,Thresh,0.046168994
UTILITY,Zoe,0.044976056
UTILITY,Seraphine,0.04326327
UTILITY,Elise,0.042145688
UTILITY,Karma,0.038288075
