tier,puuid
CHALLENGER,04jvm1XPMFlENcJ-ebTmmMiMUoB86FUg5UZREITiehVIc3Y38emUIEynHW1csuAs_9D1-SVTJtz1tg
CHALLENGER,sQqofW9ksABYrw6QSVf4QuGYygMiLBgQCx_g0zBdGlFOXpvaUMS4FU_eNuteqpqRVaKhg5T6nA6Ueg
CHALLENGER,l2cc7UaoDA1NXJveDKtErpKije6BJT87DbfGks6VwkdjJN4sX_3zzLhMoomKtf3HopGdoJE5Sj1Fgg
CHALLENGER,ozqIGKflnwVIP6pGkJyY3lg3De0ouGTiXBfxHpQEaaQ6FzJpT395fIFt1OpIPogE9u3K9l1DbhMWhQ
CHALLENGER,B4GXXnx30qqI5edG7-1e48mkvDymmg4oeOmxNJi8x2wqU0UlTxJAWQi2sz2puTOCSTIOqAE8BFSM1g
CHALLENGER,PD52ixQZzaArEr0szCJk_2JOwIZvZX2YlkFn476lvKMVCmBlYzLf40VpM8Yka2hlEc1l2Tsu1NBlVg
CHALLENGER,Sxv7nxiyv2-H4qXtt7ML9TNZenj6yQbAwABaqouljMjyULaEHCFqfYNRB8I1daC0MpP2tf3-KGY9Ow
CHALLENGER,NBT3oqzB0IQNFyIGef-5_5T2ororkESW0ShlR3dslkZW7ojC0dCswCbWfvJB0mLvznDc_13YlHDLBg
CHALLENGER,E33PeI2J5eR9Cu5fCmv_zRgNHH1dzQV9bFSUi-XuE0KbgoWeLFXldA11-4syODX62xVP8v9X8GMrug
CHALLENGER,4Z4ihkiOiMnI8xJgxnrtiYzoACDgwC0fn-wlcLlnC1JYMRYwg4stUWUIQ7awbcNQowX-NCxFCz2v_g
CHALLENGER,Y6Zyl1RCy-So8v-2-PYmufTqdpaO3WJC64iEJHHKSIGqwOJ-VL8cO21WSC-CUhSWW5oLzwlH5TRwAA
CHALLENGER,KZeK429FHwl-y5TNCT13dkPGP1Cc9Zb_rTyCj9r9XC3b60Mh4ZAMAxX5MsII9Y6S_5hg6KxjxRsQuw
CHALLENGER,PjFa7vRnr_qlrMAQmiwoUJB21ZCZd3hiMstaLdc0-YFzPyDIIbLQgXgvX6Ef6NB9zhw_7fVhiwf9ig
CHALLENGER,VFZovKilTNSeI6Au_E5seAH5vPPHZ01ZQMmnvaQOOQ_l5n6rabtwhgf4FVgd06nci6arjhlY4MR4TA
CHALLENGER,xoU6MiGyAGejKIetnhm5yK_-6wjlUj0bhhnLgcNPc4A2ZS9kbLPnKJCUImjiQ_JGUoPVTMk9mQ20Ow
CHALLENGER,DyACLN5U46PbgRqqwnAEFugj0BrdNVeMgwMaRirtj_RNOxVX8epH8uOxQmRVFggzz_rDPj-JFcLtyg
CHALLENGER,PFrcOEwEQ5YrD9H84zVENAFMNPwJryxsAsyBVT9Bv6h0c7es80DdfsNN1U2Hu7BiwxjV3C9GWLgY0Q
CHALLENGER,VtpEBKyLrE0-50U_ZN4Q551poZy7dFCaPRxl4ZsorV8HyNVNCMmQadhaW19JnTgMKEdo8juibPwweQ
CHALLENGER,EYGigFPBofGmQRFmwkvtknL_AcLTMz-3Kk8gC6eOxjAq78qgytXF69RLi7B4IyPbEGi56ooSmO3FDA
CHALLENGER,j1Hv5DNbpMXhDBasGX2oaMmdwTLCxNV40PtHNyIwtiQSd725OECwjuh1YrOWBe48YfdrSW4xEOXXRg
CHALLENGER,qpa0mI_Lrq-bNXYulj6aigPA29QeMR6nG-wOjIDxo6r_AlZVmBMKMHWpz8RjFqk9CrsdNmh6eM6HOw
CHALLENGER,-oViaVmuxUj_a1YikPiR63OoSDNzHme8cTfU3_tMvyVXnR9dA7kSxCrD-_GehBQmqkWwdkLo8kR74w
CHALLENGER,iFSZQBIHDbxrQIQxNxc2-pc7Wi7HylRhVPXI2m-X6QK0b1Uror6_hU-bDobBbjULgNEoz6tEVhm3ig
CHALLENGER,TWn6OgHo3JMR4pDuPBlnqRKGHgM1QwJ8_FQOVDr4X2RPX0txUurc9xc57veK0uQ8twLKptRAjP7l4Q
CHALLENGER,-HAmNN_aY6IR29PjTurb5yRPWpKB1Gd0Jtz1s5s_ZyyWh0BMJOsMpUFodtZEsZzStMoWr0hGGeAASg
CHALLENGER,gVNEzWYDRa2epjXbXO1cX8pcoWfP5MfAwcPVPXf6Di0Mxovbp7SuC4vX6lc7Rn352V8HYz2Vhf-CAg
CHALLENGER,809uFsNswZPtwQ8pi9XE3AFz48QXof47343O8GRFYjSKLP_wirY6vmwPbu0f5gMfATJoG3d7-bqc1w
CHALLENGER,dGHcM7bOXeE3uF8C8V8e3Vawaee-CMZMA_KFsy4bL_U6cdD2i38EEPRTAMPllIc42Iy2K8jF5tzWOA
CHALLENGER,ZV6mgkqhgSMVZIAJy_hUYU56RGuZd0wQGMrXdo1LYhWOI9lviynvtC0YcGQTU4eDGzESvbKKfSMIAA
CHALLENGER,t_rEzvIdnPJgMk_wPhIaUmRyxxfP7dqy5nXSamNtoAzkQx_J4MVjw0H2zpGajvo3LgA24Hlfd5GQZg
CHALLENGER,0WuxGChTGycAPEetYFRPdt84OM-SHkSsVFyl17zIq2GZjE1nvPrqcVpzee2kPe1gUIjRRT4mQdzfVw
CHALLENGER,e6rmU0O4q1Im4JepRlSHj7dPSkB-KfIBkLCdTtbU_Uf-N9C9RNIzQgnEudZmddRN3DsOfr3lHnYydg
