match_id,gameDuration,gameVersion,puuid,summonerName,championName,teamId,win,kills,deaths,assists,goldEarned,totalDamageDealtToChampions,visionScore,totalMinionsKilled,champLevel,role
NA1_5315016403,1682,15.13.693.1306,04jvm1XPMFlENcJ-ebTmmMiMUoB86FUg5UZREITiehVIc3Y38emUIEynHW1csuAs_9D1-SVTJtz1tg,,Vayne,100,True,9,4,7,13901,25751,11,209,18,TOP
NA1_5315016403,1682,15.13.693.1306,W5wqNLbMFEPhrOYEDXgal-MHFRdYxbwYG7irhMm-w-dVnI4zxfq8x6PLXQCCxuSjvpE3Xl5kZveiAQ,,Nidalee,100,True,11,4,16,15568,20405,31,28,17,JUNGLE
NA1_5315016403,1682,15.13.693.1306,wGEE93Jo0jd-r94_xTi-imXjoAn8iFEgco-rnONNfiehqDzpbirCSvvf6UurrrXPs_0PuX7OTbunqg,,Kassadin,100,True,6,4,7,11794,23150,12,203,17,MIDDLE
NA1_5315016403,1682,15.13.693.1306,B0wSbYuwfx9HZrDmWHcLP0o5bBZjL5B_gUikOGx9sTxDkRGWqwgyxcs-Mas0VW5lSftt20Td8nyDSQ,,Twitch,100,True,21,7,9,18120,41399,10,204,17,BOTTOM
NA1_5315016403,1682,15.13.693.1306,9hq-qhv3rzPpcBKTWVPU-exyWkoR-UFUlLQLGahxLyq58ib4JDniRLy1lFMYDGI8Rhmms8J80JpgYA,,Alistar,100,True,0,9,15,7504,7354,78,15,12,UTILITY
NA1_5315016403,1682,15.13.693.1306,-6a7brNPEBH9JbRovpMDQYp3c7IlR76j9L3acdLBu6dxwbWjURnjzkhFFY6qMs-EqYJtClSWmEuNcA,,MonkeyKing,200,False,2,10,6,9043,18084,6,171,14,TOP
NA1_5315016403,1682,15.13.693.1306,bU4KNJTjv6pKyvpX6vvqA864Guf2mZIooFb5bHKtqQ8LNY9rKv_WB8IApkdcjz5rAolbifrzzghq6A,,Karthus,200,False,9,12,6,15690,36704,17,51,16,JUNGLE
NA1_5315016403,1682,15.13.693.1306,DJa83Dzvis1CEzsDkWXE1Av6P4h5yDtJPbVksGZAP14-hYLHq8j9bNIE1vqCqa6AuboCiPf2hHkzOg,,Ryze,200,False,5,6,3,12049,21698,18,249,17,MIDDLE
NA1_5315016403,1682,15.13.693.1306,476xOHODwXYEsW8ucyCcuZYBEQwZ2I6UVz3kq4qYwUWstg9pQdCkdRcRgF2tI3TN2GvmVkh6AYWOnA,,Samira,200,False,11,10,5,13342,23196,13,150,14,BOTTOM
NA1_5315016403,1682,15.13.693.1306,pafxce7llnJDUsQJQ83p2QDy8hIYPzUVLkDkWUo8ow57aTRJJIRhet-Zl_MeUuO80jb1hCx7S_Aptg,,Gragas,200,False,1,9,11,7002,9411,66,15,12,UTILITY
NA1_5314997608,1919,15.13.693.1306,-oViaVmuxUj_a1YikPiR63OoSDNzHme8cTfU3_tMvyVXnR9dA7kSxCrD-_GehBQmqkWwdkLo8kR74w,,Camille,100,False,4,8,12,11775,23562,29,178,16,TOP
NA1_5314997608,1919,15.13.693.1306,OQ2CMrrBcUuBJNRrosAKM9Sn2JLvX5SNPHcaakKwS0jnG-3aDB6JNRvJttFwfMo1FDaNMPkw7fL1Ng,,Nidalee,100,False,10,5,10,14850,25068,25,29,16,JUNGLE
