tier,puuid
MASTER,mCynR4fGmoFD-0A6jkW_DumIVYdLEXQic5O8_-D3bKx8xeaRcHpt2VM_kw5uc1TSJCwqvDZkpSHo_A
MASTER,4PLO4LGjH4LFQTGa14i6LLpbXonmivK8TsPbPlJ6zg-yzYnhICZhpHL7EF9ckOpWx218qohpE_6glQ
MASTER,3Jxm12l8vZmrGOZvbT-OTf95qoqGVOBwG7cdY4YwXg94iFEH20r-Mc5yPGi3Z0TFVstQNEaFheHjJg
MASTER,6l_XG6og7Vu1Rek-q6q8O-CA970jcroTvmBIJZjWJY9Bp66oS06XdD5FSXRPjomc8S00qYHy5y_Slg
MASTER,OeID4jTapQFYn6TW7Sfh406twLhLxkrhIOYokWziQQbirceN1tsMUrTxxktyacMaW5UJ2LxGBtre8w
MASTER,3wuVYu2265puGX_iqE_RBZM9wCdhQsNTomw9g8eb2yZXBDA0xk4UEkzQChLJj6TJdq90yyERvv8n1Q
MASTER,rm9yitEA45Cgq8Rg-NpqsOZjlgTgGg8D1BUzyzGXM0E9fdaWJPqo3OHj2W846eoKpODrtUajAoQsQg
MASTER,B0VXU_R5k81AdW_kOr-7NKwZJswpaFFquZxz-PX37YbT04HGDaM9xnSYobfkFC1RTNLMC-uqToLszA
MASTER,TfTXhzouEoZRwrcg0x6W8AzXaqkeXjIP5_A85tioYGrULR9D2XmUHKf7Arum2jagGkKDpixL0UV1Pw
MASTER,Nm939-mhIcx905ppNvwrQ33i_mKu7NgYdUAsZGmAN5O4yqlL4T5M7hjnGpQEyhaC3WNhKjDhSHXMbQ
MASTER,nrVvzrDni7GwTwPDldfURDwubI4Fo1NxzJhp9gi83uLivveXCcIEUwhKatUgoDRm0MmGp-dR-wK8Rw
MASTER,ThaW4yCqov17oLGi4G-Ga7MTaI3bXlO3y-xignkcvPqzBuCge96WC56gewwQ7j7rGiPopjZvkxKX5w
MASTER,9-dYQRiii163hzwX0egApp9rW7MrSjTfMBfGeo-F5fwC0ec-m6pbjn_4aErzqljYCNHliGWR_jXYrw
MASTER,X-J4ox9XIkHF6yqLUmjnIvCxMJm3qfy0tKKjJvQ1Rj6JzLZbNcx_XVB-gYCxLr8qPSIzRRvdimSYLg
MASTER,1qFzjhhPqC0RnKVO8X8cPMR38ScQHtZo_c_KPzdo0oV0-P_QhizoMFV6bvrorb1hBWfy_t3a_MGO5g
MASTER,xfTsxc6pwyKnV6uYvhNbQiFI95cyPkCfm1PlMIGVYz2fTNJD3kM5TRYP-jW_w6IU-j2RptfkT18T6Q
MASTER,5RhCdEisczBsRT2QHZ3rzK0NoZBkIb9TuXKGAq7eNxTaXNcapSZEld2mULUvrKgDjlr1h6hU2YGZMQ
MASTER,YXqm9AV3uF8EzoiEyshT1uj16DBvyV6WzDl5ExTS1Mxi_iTAxTEPxJSITpoXWTVEfc3cYejbnZTIZw
MASTER,1ddgdnLybTX6VWHVViZGR36vGVcLvMyKFk5D7I1HpOGSxIN8rJErcZpTfDJYSmEkMRcRp83qsRX_Xw
MASTER,fZGC3s9Yn3Cbg98oGPb0qXLetP6lF0UblaQM0_BpqcL4_uuYL6J7ap5-1pmZQKSNWkZSo7UlGFGu1g
MASTER,EhExg89l7WdnzJxtzqVZVMmNyIR0l2L_7AMMjW8q_Co5MN9SBIwhBmSOrXsXl2V9_K062zS3hKjOoQ
MASTER,ztaKosGOEb3LdEnohmz5tLhJorqe5t8Ltr52YKHxGdkVMk8QmqevQS-TLqPqW0CmZT4TROsNO8Q9Dg
MASTER,ofKg2zF2FpFmpIHsYnhgpmuB6ETA6JSfyQ5KYk-0QdEKukWD9WmaduHLAr4Syt8RqNw0eA_bLdojtA
MASTER,rjUAdSb2aEJkSxC56jdzb89KIVNjaixv0yDiq28hL50T-WWGh2zP-CtkM3tMveOijrDOnIY0nUxYDA
MASTER,2nbAIC8U7nzO1TQypMeJt3-QXS1cCGP2EsABoqtyht7DfevsCfNOJtwoVMMHuJwrbEQigPMVN3WRlw
MASTER,MwrFteR78JHwM2vnTBq7bNKLwpKppvxGq0CerYAVsaVIIEaeMGwIev2xLMvH9vak7h8TkJ00zhU3OQ
MASTER,kZHWBalZChQzR5B2OBFBT2bW8Z7kike5d_pL2HE5efH4RqiZ81Y3DzIYysrwYrlnZcBCmHX-jFqS6Q
MASTER,5pcgbsbJcoyxGDlNeNXkFE_rDDnexKAgHs83MtzHgvyWnTzeTysGotPFt_qvDGCxWznBcgPks3p6EA
MASTER,2Yfd4TbZ9DpgjCvuOpaToxfcjG8yMft26mVpOSFI6QIwlQ9rxQOARo-O1RSM9jJlQoHHNYNFQ9kxUQ
MASTER,rNAOrVDrzspzVTEPzRZUft0sHxnojira33utpXhwZKuGyZdfyAnSLkxCN8EdsgGcv1JIGYJh7i1hbA
MASTER,_XZdVR0ic9UrQErdTQcsc3dQ5a76ktiWxRjQVFAQJHkSEmTmsfa_mrN-pQ1_SRzinO7D6kS1NS3tkg
MASTER,kbXapuI8RQApltWbNFIg1Gdm5_pws08lETcvMuRiyjl7HjRoXA5gYNnECl2g0ZTeLwVIdHd-klPM1g
MASTER,uAL_699uD3vzitvC1oY-0Fb-T2Cmod9OSTeY1ptCuhSV7Yzm3kTBQwuYHYJmQ7uRa9k1F_Sg3Pz2VA
MASTER,Wa2xL6hFgcZSiCC8_fRMqAmtGCJKYXsWDwCzSypyOADfihpdmo-Eyz0vh7IBoveOVZFyL0QC20O9hQ
MASTER,6wMftcj0KujukkV8uaS0YLbGa2DGasmqbGriNrDeSxXbaorEqwWNUEu077GTs2MZz9nvujQwcopOEg
MASTER,e9BgMBI0fGmlXnSF8vKTcYO0eKHolu9illE9haDRdykEdDKEYf331fmHLhKPJD0fx89eg48H6ED5rw
MASTER,Ii53803ovsnvkGV0vHDR1gcxLz3qs7IsEDD9e-ViTxy2vlxOLTZ5-chWtytjqPy5QKpOzSo8S0BThw
MASTER,lZhjri3ti3UeUc1mMYMzuh-bWwVy5yYp-QWknfcv4Rid3Y6XHQqWnK2z0o7NPYqYNHHcUccY0Hy6VQ
MASTER,zDXiAGQZproQRwnKrlxI4CVFZ0aJc12Bk4Rwi9gY8JAPUTmjpUHTqu1mTLlE28CJAZoo9Ck6D2wceQ
MASTER,qV_13ZyzTI-JUg5jFS8eT18Z4ToFlAtiABjLlbKD5Aw9iU460USn7rYm65Bbh_UdNRfyDBgKizvhOA
MASTER,eu32o1gnOEJ45fSJOumLgcD1mIc2gEPiO98v6LrYEKaha7HhDMWcHxQx1ZP3dgaT0b1anBiw_wN1IQ
MASTER,mVjgj3Y8UbuZIMIl0OINzkas5M7YqRip0JaLAmB231XKPedyFNpmp-JRuUBYEjR3qt3InsqUXNzdlg
MASTER,kd8tKx0Uf6yD8uooeTwzoxLTNr1-fuKRWVklScnbp_3aRvHmZX89SLIV5gaJ29rna3yHIJ03B88cqA
MASTER,xmFVv7n5gIth5cX7UwxmvFZH1oTaVYN7cMvo2Mtz5mwpFBYOpWhXxTJaW0tGfCYX2oiE2rk2SKcMZA
