grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,6,0,0.0025,10,0.8,0.8,0.1,2.0,0.6779739776951673,0.7491556442770353,7539,6
lossguide,0,32,0.01,10,0.8,0.8,0.1,2.0,0.6758828996282528,0.7491417702990738,1733,32
lossguide,0,64,0.005,10,0.8,0.8,0.1,2.0,0.6777416356877324,0.7487526511039503,2546,64
depthwise,6,0,0.01,10,0.8,0.8,0.1,2.0,0.6754182156133829,0.7486948878494022,1681,6
lossguide,0,32,0.005,10,0.8,0.8,0.1,2.0,0.6778578066914498,0.7486742388355101,2443,32
lossguide,0,64,0.01,10,0.8,0.8,0.1,2.0,0.6772769516728625,0.7481517782957756,1254,64
depthwise,6,0,0.005,10,0.8,0.8,0.1,2.0,0.6775092936802974,0.7479314681632424,3067,6
depthwise,8,0,0.0025,10,0.8,0.8,0.1,2.0,0.6754182156133829,0.7474899301642253,5420,8
depthwise,8,0,0.01,10,0.8,0.8,0.1,2.0,0.6746050185873605,0.7473061404444974,1685,8
depthwise,8,0,0.005,10,0.8,0.8,0.1,2.0,0.6741403345724907,0.7469455519783725,2611,8
lossguide,0,128,0.005,10,0.8,0.8,0.1,2.0,0.6740241635687733,0.7469073040663659,2102,128
lossguide,0,128,0.0025,10,0.8,0.8,0.1,2.0,0.672978624535316,0.7465125165144875,3599,128
lossguide,0,128,0.01,10,0.8,0.8,0.1,2.0,0.6758828996282528,0.7461670976507252,905,128
depthwise,10,0,0.005,10,0.8,0.8,0.1,2.0,0.6759990706319703,0.7460490608693521,2362,10
depthwise,10,0,0.01,10,0.8,0.8,0.1,2.0,0.6715845724907064,0.7451435273816991,984,10
depthwise,10,0,0.0025,10,0.8,0.8,0.1,2.0,0.6678671003717472,0.7362026663194393,199,10
lossguide,0,64,0.0025,10,0.8,0.8,0.1,2.0,0.6647304832713755,0.7323153612414067,10,64
lossguide,0,32,0.0025,10,0.8,0.8,0.1,2.0,0.6589219330855018,0.7280844727675136,9,32
