grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,4,0,0.01,10,0.8,0.8,0.0,2.0,0.6884046445045332,0.7624696867480513,6210,4
depthwise,4,0,0.01,1,0.8,0.8,0.1,1.0,0.6871321775091459,0.7620919033230672,5319,4
depthwise,4,0,0.01,5,0.8,1.0,0.1,1.0,0.6872912358835692,0.7620081187192541,5322,4
depthwise,4,0,0.01,5,0.8,1.0,0.1,2.0,0.6880069985684746,0.7619923814329573,5322,4
depthwise,4,0,0.01,1,0.8,0.8,0.1,2.0,0.6872117066963576,0.7619778585996224,5327,4
depthwise,4,0,0.01,10,0.8,0.8,0.1,1.0,0.6876093526324161,0.7619767327005224,5069,4
depthwise,4,0,0.01,1,0.8,1.0,0.0,2.0,0.6877684110068395,0.761966852619656,5248,4
depthwise,4,0,0.005,10,0.8,1.0,0.1,2.0,0.6860982980753937,0.7618877234188632,10825,4
depthwise,4,0,0.01,10,1.0,0.8,0.1,2.0,0.6878479401940513,0.7618835993390136,6753,4
depthwise,4,0,0.01,10,0.8,1.0,0.1,1.0,0.6871321775091459,0.7617896563421971,5244,4
depthwise,4,0,0.01,5,1.0,0.8,0.0,1.0,0.6879274693812629,0.761787531049514,5920,4
depthwise,4,0,0.0025,10,0.8,1.0,0.1,1.0,0.687370765070781,0.7617867593658612,19793,4
depthwise,4,0,0.01,5,0.8,0.8,0.0,1.0,0.6870526483219341,0.7617683022109522,4894,4
depthwise,4,0,0.01,10,0.8,0.8,0.0,1.0,0.686814060760299,0.7617581185168453,4894,4
depthwise,4,0,0.01,10,0.8,0.8,0.1,2.0,0.6875298234452044,0.7617252017813595,4755,4
depthwise,4,0,0.01,5,0.8,0.8,0.1,2.0,0.6864164148242405,0.7617236837151573,4901,4
depthwise,4,0,0.005,5,0.8,1.0,0.1,2.0,0.6864164148242405,0.7617235319085371,10525,4
depthwise,4,0,0.01,5,0.8,1.0,0.0,2.0,0.6880069985684746,0.7616912223995324,4902,4
depthwise,4,0,0.005,1,0.8,1.0,0.1,1.0,0.6876093526324161,0.7616844290532773,10219,4
depthwise,4,0,0.01,5,0.8,0.8,0.1,1.0,0.6880865277556864,0.7616815447274929,4761,4
depthwise,4,0,0.01,5,1.0,0.8,0.1,2.0,0.6880069985684746,0.7616547255579198,5458,4
depthwise,4,0,0.01,10,0.8,1.0,0.0,2.0,0.6874502942579926,0.761650930392414,4896,4
depthwise,4,0,0.01,1,0.8,0.8,0.0,1.0,0.6870526483219341,0.7616392918848633,4761,4
depthwise,4,0,0.01,1,0.8,0.8,0.0,2.0,0.6876093526324161,0.7616255660362846,4762,4
depthwise,4,0,0.01,5,0.8,1.0,0.0,1.0,0.6874502942579926,0.7615495868228616,4685,4
depthwise,4,0,0.005,5,0.8,1.0,0.0,2.0,0.6855415937649117,0.761545260334185,10053,4
depthwise,4,0,0.01,5,0.8,0.8,0.0,2.0,0.6861778272626053,0.7615394537309614,4894,4
depthwise,4,0,0.01,1,1.0,0.8,0.1,2.0,0.6880865277556864,0.7615381380735862,6185,4
depthwise,4,0,0.005,10,0.8,1.0,0.0,1.0,0.686814060760299,0.7614735064050249,9336,4
depthwise,4,0,0.0025,1,0.8,1.0,0.1,2.0,0.6863368856370288,0.7614522155265382,18622,4
depthwise,4,0,0.01,10,0.8,1.0,0.1,2.0,0.6872912358835692,0.7614117337611446,4396,4
depthwise,4,0,0.0025,10,0.8,1.0,0.0,1.0,0.6867345315730873,0.7613954272000221,18171,4
