Role,Champion,ImpactScore
BOTTOM,Senna,0.013195217
BOTTOM,MissFortune,0.013193317
BOTTOM,Karthus,0.010740579
BOTTOM,Swain,0.010295748
BOTTOM,Samira,0.009155355
BOTTOM,Kalista,0.008721429
BOTTOM,Vayne,0.007982224
BOTTOM,Smolder,0.005107976
BOTTOM,Draven,0.00493741
BOTTOM,Hwei,0.003229982
BOTTOM,Varus,0.0011080372
BOTTOM,Ezreal,0.00095591776
BOTTOM,Jhin,0.00074859033
BOTTOM,Ashe,-0.0008767897
BOTTOM,Corki,-0.0017046746
BOTTOM,Caitlyn,-0.0025805847
BOTTOM,AurelionSol,-0.003051701
BOTTOM,Yasuo,-0.0032400296
BOTTOM,Veigar,-0.0035959228
BOTTOM,Viktor,-0.004278399
BOTTOM,Tristana,-0.00466553
BOTTOM,Lucian,-0.004950974
BOTTOM,Nilah,-0.0063364506
BOTTOM,Xerath,-0.0063518854
BOTTOM,Aphelios,-0.0063588475
BOTTOM,Jinx,-0.00649258
BOTTOM,Zeri,-0.006570811
BOTTOM,Zyra,-0.0086407345
BOTTOM,Mel,-0.009507842
BOTTOM,Lux,-0.009884912
BOTTOM,Seraphine,-0.010057852
BOTTOM,Sivir,-0.0104324985
BOTTOM,Kaisa,-0.010917204
BOTTOM,Ziggs,-0.011304129
BOTTOM,Twitch,-0.013495113
BOTTOM,KogMaw,-0.014749085
BOTTOM,Xayah,-0.017446022
BOTTOM,Brand,-0.04009724
JUNGLE,Zed,0.02078277
JUNGLE,Karthus,0.014341524
JUNGLE,Ekko,0.012885944
JUNGLE,DrMundo,0.011632394
JUNGLE,MonkeyKing,0.0114890635
JUNGLE,Trundle,0.009970028
JUNGLE,Zac,0.009812944
JUNGLE,Ivern,0.00977386
JUNGLE,JarvanIV,0.0083086705
JUNGLE,Nocturne,0.008005602
JUNGLE,Volibear,0.0070503564
JUNGLE,Poppy,0.0066186134
JUNGLE,Shaco,0.0038918739
JUNGLE,Nidalee,0.0035540024
JUNGLE,Jax,0.0033599883
JUNGLE,Morgana,0.0033098098
JUNGLE,Qiyana,0.002940147
JUNGLE,XinZhao,0.0029047818
JUNGLE,Sylas,0.0028381222
JUNGLE,Gwen,0.0026512835
JUNGLE,Graves,0.0024239582
JUNGLE,Gragas,0.0023100013
JUNGLE,Taliyah,0.0016442236
JUNGLE,Amumu,0.0016066603
JUNGLE,Teemo,0.0012833228
JUNGLE,Mordekaiser,0.0011097313
JUNGLE,Khazix,0.0003547202
JUNGLE,Kindred,-0.0001256629
JUNGLE,Ambessa,-0.0005331054
JUNGLE,Nunu,-0.001071054
JUNGLE,Maokai,-0.0014935017
JUNGLE,Belveth,-0.0016555407
JUNGLE,Viego,-0.0019739936
JUNGLE,Lillia,-0.0022483955
JUNGLE,Rammus,-0.0029221268
