tier,puuid
CHALLENGER,Nsez2zEaiO2fUcX2RF0Rfu5QS46PszpBJmcr0UFBsJtWe6hxR2_Ik8gPLgD4Y58kCUvrwXgM-tvtsQ
CHALLENGER,CrnV75p_y5JeIcNeDF5gx6BsWlggv4zRztvxFNrClwp67B33WSJAbq24rTbSzzgqXPiAVBem0N_tag
CHALLENGER,hReE44R_N0p-4veL-LJLZZ7fq4m0t0sFRw0nLI5asm1vkYy8ddVqK3BpKVyamojPyNCf98QGTgsw9Q
CHALLENGER,RsNR-2BAYcKZmkRJdtBSMphObGGeMOJwjjweNKtdkhVEojuL_a_e2W05o8HKkzDqU72YAIxiFf1Duw
CHALLENGER,uh1rYo9bgyZIvGkGkzza5RqTp8UzD3yUm-wC_1hzvHaU-wDI0JMPsgY0XI5lqIUZh45N4a_KX-Raaw
CHALLENGER,yNUc-bZtR-1IAqjSqqUOksfBMEK-6GFdzuopIdoJT4HCcNNpfKvhSYQ-7xJS5VNN1AeBB5LoIWMrGw
CHALLENGER,xONoZpNb-EMPl6zd9w3ig4CQIE-g-_heKjnLr1ZlGrTwULShqaKErkhoxJsnHu7aDLlLNf3eRAS98A
CHALLENGER,0_aHZR7cvUwGWErOAS97w8t-5YKEBPumOXpNxEwQofz7qnfgUpYS9Ba7T9iaEsza3mYZnxDQNAjquA
CHALLENGER,n6zVEuDf6abwe6midRMB1me4NkI_IFpDH8b5Vsf-Q3yk9wmLdguOxViJhORk28eTh7hH7t1zq8VAwQ
CHALLENGER,SjoENWltnoErnv_C86Q5OWCwbBuTADi_yfNVtyLl2dMjjnzd_3i5gYtE1xLdqQ91C6fCRYIaqKHcjQ
CHALLENGER,zxAoMFW5Zf7v5zuNW2k__3xs-e8fn9U7EgBdZKKZz2NizCr2-TBFWQmaIuIPWgstYjH1BQuIBrqwtg
CHALLENGER,B0wSbYuwfx9HZrDmWHcLP0o5bBZjL5B_gUikOGx9sTxDkRGWqwgyxcs-Mas0VW5lSftt20Td8nyDSQ
CHALLENGER,e6rmU0O4q1Im4JepRlSHj7dPSkB-KfIBkLCdTtbU_Uf-N9C9RNIzQgnEudZmddRN3DsOfr3lHnYydg
CHALLENGER,TJve0CH28wS_4BQ4b0I0qnuxXRXpCG4xSVuLBUoI_YQmQTBKAqdqXaEsI1rn6JBc8J5RW8tyiZ3Akg
CHALLENGER,m7PEPibP98cyWpeilKX9tadz9g5FlwFn1qvbQHL9CHnAJejp-SnepFSmkZ143UN4xv7KKiaYS71ulw
CHALLENGER,gFS7xD_Ah7ayVyIYUWtVXdV85d1RoSmhS4fPT-CrYSfvNnKJ45MpEEZ2fjnrl5NUkhwEVjrZ1e6c6Q
CHALLENGER,XwY4_V9KTpQW-rIAjmw9dvAdHLqTa8BthQNBwsDhAyW9y6tG16cuFy8ds_AjvRVYdoWesy2qk-VcSQ
CHALLENGER,tOYk6P_HAcHtTiX9hNSFlaPd1mAD5kz66KwCSNk1qvURbrC3Tr3ej4aPT4Zw9tB_68K6Tw5VEo6i8w
CHALLENGER,ieuKiVwwcWP2FYl0E7KT_RbBmFa8fLHioo5FfpbUFSsTuzt5Sg7YetxmM-dlAej_84udGhJm4u3QJg
CHALLENGER,340Ehb2O6ik9QgN7hLVdAjLDDOw0AQ-QdEZmiE-1-55pbgCsRrYEGcExrqdDucmrkSW4aahZVjc_oQ
CHALLENGER,1W0uGgPYY3M5jgI0eKuAdXdwNhcvrsk8WPPWNL3g-rjol1MJf2ETP-5Tus0JXr5jp0n-MsPJazcmHw
CHALLENGER,sqiJy24dyI38FT1joLs9Q5uTVqBOIgmQ50soK7VmpCj_z_GV0QjP9Hje63EvslDHWP0-RwjrVeLEWA
CHALLENGER,gO42f_UMijCCn3gCZKwYpasVkOjpSA2xx8pc-nficpcDzeBlXarK0IxUoPauHdzvfxDJ3YCv2_ghGQ
CHALLENGER,LYI4RXMGKiDIXuWbhhyKUiUCtNot-emu-lm2WFX2Trj27UcHxmq-XtMnY8xM6tEkDOyZ6uPkxsOQgQ
CHALLENGER,Z9cngRZyQt9yMJfk4AQMjn-5mL8-DiVrsZa1dJkIYg8j_G_fWM791XWvTBYKLCZknsFdlMsCrClHBw
CHALLENGER,c9Gaym5T8WGk8gRiD1XKAvyRgF6j3_vmHOin6CoCBp-UzMtj0JV18sCay62H3EHnf0pRstdo-yB2bQ
CHALLENGER,PCdA0kgdTRCcQM7VHyp5GXyEFjxW4NeuTiSagWP6_tBqTHyZqQ-F8w0y0iWrZu2ze-2p3FwaW0DXNA
CHALLENGER,oFWKzVte_egFCB_skItW0TyZ7FWc79qrKOR7ioCt-LaDhYlTCZhaL_moUa6Wv89VCk9aAMCfBu1ugQ
CHALLENGER,OXdgxhuE3e9dgWV6YIOxbAunPSawH4M68BXiPqxOPsxakvUpsBuersrATvxW3x3ezAOgoSud8r_zjA
CHALLENGER,W5wqNLbMFEPhrOYEDXgal-MHFRdYxbwYG7irhMm-w-dVnI4zxfq8x6PLXQCCxuSjvpE3Xl5kZveiAQ
CHALLENGER,c3FCFBmBJY8BfOS5uSkEG75fnb4kr5QJ25ycx4UBWeVWokPR9ZuOIoNxfO3EAzPaO_MeTTKlqJL5Tg
CHALLENGER,UlCawbv9udHjHsEjmTRnpB9GS3CkfBpGCZLNa8spFkoMQJuJqHKv33iT0N_bhO9lhcUBo94SYKxkQg
CHALLENGER,ekQErLNhwN029my36o_O3R5xqhu4n14dcHFUVfGJQy3huZpTOQyNa5OTSeSDRQh-RKP5Rbcs8lmzCQ
CHALLENGER,jLwbmpx_8RT2sRUia7WgtxvCZSglACRsSXakBPXqd-1e0pVy-KmvmyO_AR3B90cZLa5-uqa_FO1N6w
CHALLENGER,_cheZaiX1GGLaFWenv1J6n3ya2wgoRMloGcpWXhbRxEK7iOfPrrcnfYpNREodnK38krhObWCLeGDsA
CHALLENGER,9FuETPWuQYUvdF_ciLyqaJ_K-7HobP2LQeOT2NQWRjcB09jkDsmbeOE8_x4XPVBb_SwcMYV2O1dgKg
CHALLENGER,ZjGUyDSlubbD3VrZtMwedmkSdr6MjC4lFAGUx2L-_jl6fDZDBhGoTy2K2dL4chbZ9r3PXKOX3hhqlA
CHALLENGER,3cYR2VFVC5QM9GoYu9djc6oFmDSzXMYymImQ8jdiwQT2WyPAjY77UZFV5SWBzuJ5QXvsN3qi8hznsA
CHALLENGER,brf5nuk2l91ib3qD2cIsjNfIYOqksC8BteEjptVuiRzlAnbvOlfeZChkpvb295dZEp9nuSVZ_g6Wvg
CHALLENGER,-O9rRNfvLYPcWk0zx_NbhjUyzF1XD2Bs_n1OTNj-noUVnqwDx-jlncpETEjK5W3BOjjf08fVWQAP4w
CHALLENGER,BBojnnEzQSzm0qO09Bcp5KOR0QVnwZO8HnSIQQPQS4DUfeW2W1XwgUezn3U6ZdXb_aZguRV8lzFuyA
CHALLENGER,lFswMuiP2kpDn6QjWrnoSHMP5Onh7I9hMDbdMVeskq8VXB29OfRLZ_9XI5V4FaJzYMGYvptLoJ1gbg
CHALLENGER,gPcSrQ8ANG6Vli-GrI9PU5ew91k6nmNWRfm8p77Pr4_yBRMN6Z8aRWBJxIvvPtPTGqsN0FIMBwovow
CHALLENGER,xdajbFeap1P6XdBKn8qQZErd73qlI6BbRzOUftlCccJcVgbe1yynFQQA1WtFrzj2tNUBBWSzw3RFbA
CHALLENGER,QdKfnkMmOQ8etfy7lznUs0_ePPSOEyMIcVD_yni1Q-_5ZtLYVllP3iZ7eUg2nP1sOou46br9l2hK6A
CHALLENGER,cyAKctsHemQUPRKNSl33Wf6Grm5ithIu983IsScw_YKXV6a1-eVMnt5Rv1QTzrhvTlN6Potm_Wol3A
CHALLENGER,DA9HgL94DLnUv1ceXk1DDBCkwu1eE2UEeyha5mDclc-tnjZ4CaPvlokeGSsSXEfD7rDHMMaXk4xqPw
CHALLENGER,pEzOOf34l5tLXyhoPZnYwZQZ5mLGsJtG9x04tdsOtvjZxPC8aVwAbkhDJs-AvYrMmg6ANp85ejed7A
CHALLENGER,Snk33Gppb7Cqur4TkKZILJYI9eh5OVfEotGuMIwcm2bosFeIeH3_-yydMo5n1UUidtTVG64L-HXB8w
CHALLENGER,w8fjnQOsOB0o3Mf3lMpil3Eh_ld-AHbAicx4XVrv5fZT8d7ma3i-MSKPKrHnUB295--xpy-VLNtwAg
CHALLENGER,1MYalL-ENeve3PKQXxd8CE1_QMrDMDdikEXkr7-3hr3eaLfhIuQ14OBFwawDTDhFeYoVzo8qWjemzQ
CHALLENGER,kU8k7hmlwfAiYny1XXun-t8QZtxrBBGBp3LBh4YTcyvgqbZkHDRjpjQ7WRl017c3lj4LsefazUtAFQ
CHALLENGER,5ir2XWzDOENSLhwHMNxekixduZIzErP1qjQQNUkq2U-a4wn8AGkdQL73a3BhS1i4wd8QRK7418hgRg
CHALLENGER,PP-W9GrSUHaeyYcxflheNMHW-esO0SKwUTK-XxLperSljrnf5PajEHCRV_lIDeG2i3HuWqWkQvk1XA
CHALLENGER,41fjBX4ptzEMHZgs1E3GeTOsB-sBaK3tPbQ1qzFsio7ZON0BcQRIiBV7JqzTobPbccsKO1mGb1us1A
CHALLENGER,g92PpCyUhAFN6JXgPSwoU53Y01ePdS2QeQhN0ok-txl_wksuAtja43k0s_QnhXzJuBlCG5JDPq_gQQ
CHALLENGER,XT52L7V9z26NPJxfbNH8MYPwTlDBEsM4hcS-g2GufcXpvSyqMRPEu81qM09kNXHp4zpjoTS9Gte0qg
CHALLENGER,yerxHnvgCRMmeQlyTK4qxw8f56kZL4skfSAZNhXC4Jl25s8tfU_ZFK6D3aIKhPXA7k69cBIi3Gg4eA
CHALLENGER,w4ODkNXJM8NmB3rH3FuWJgasIG3K72LAd9vpkSDxJeWopILCkgpj1EIURpqlLKQHDlLXeQHmoV62LA
CHALLENGER,8lzXMLZaknIk-NI-HXODBSRJ7Tbpts8v-_Cedjm75Z5Gc6j-C0I9BnlF1uC9a7uTaHX1wykiTIaKIA
CHALLENGER,zN-5USTRSMr8_WLt9N3OfOUKMhfsx8a36OBEz8xzEyL-C9cmzXeePiKhmrKajXU5UDn247F7qH23bA
CHALLENGER,BS7JgDw20w05iLoBU-T0WYGkuigfI7O1udr4tvw7dkPJlz0W5oW-WoonEbR3KpQIA3n5xke4dE3BIg
CHALLENGER,_cVQbxY_N2nvQTuHxOeo0auucgDfVCi_Oc_gpvSR4BTkuM5EmxU60syTxwpbUTa0wYns9O8_Jfm-Mg
CHALLENGER,eIMcFsSANQkMNbkq9QdSLRdd5o7s7upxhZMINFD3dSphGhSVHT5te0oNCFS952uSti2jEoF6ztAu9w
