tier,puuid
GRANDMASTER,gESRBVpguDA9COb6hIC0BkchN_Pot24Cy56B44a8BEcTwQzqXG-dnnvv_5TOmfLmHeHhE_-Px5IJ4Q
GRANDMASTER,9cmvTn3_Rp9mfNbhiusq9BSy-Mnluw1TbfZ7AQipdxj7TArEVOdQzBI42TVmoRo6MQVsGDLAi2s1eA
GRANDMASTER,s4LXy7CiEMmmezE8yylPeUdTV8xXSk3e9gM3Iefiu0I7kjKhW14GsxlfLmFhLQB-juakVvdqwAqZ-g
GRANDMASTER,o4-aBNMG2MsqwZVbvSWnm46FQfZSMthGm3m1ErDt3TI_nXQRNXGXXPzdu8oObIY4Ljqy9YmSIEIjrA
GRANDMASTER,6_P-V1OG1DUK0YnVAvgzUWZqryroJXMDnTBaFgc3at9CecnyLKAbWQDltDjuU46z24d9JJ588h2NYg
GRANDMASTER,aJnmxkgQTpxCkhiEeDg5Xujpam8S42Hzgp1uVXtkYT8zjqVgtvXmtGFcEkJtLgj0l71GLGTDh8nwow
GRANDMASTER,bZ18-PrTCdi73oUHcwvNCcr00CiCu3Kuj8DJo7yo6-SSt3mGBdaH_6lChwgs_uEv1-_GtuFBw6eUzA
GRANDMASTER,8jnr_dHiuDFAJSaMvtrUhsTwaqnThfHip3Ricejy5-tRnEJuQlCGC1ytRtkpUwMHq89tWRS5s8ajsg
GRANDMASTER,K1GrUCCRrG9ZYj3kv0WeA7_tjvpsyqLQRl7GZn3qX9CMERGAyFFDkuAHSESofyEkY1BFP3JynZKVfg
GRANDMASTER,Zbf4TCBfzWqa1TjppPsQVwF1CD5gudl_ZbaXjcCYZ3KoZeYgJrlO_k5urN8wXf0yselF1fs8iUeonQ
GRANDMASTER,7fLSmK3fFkL7atQh0G_8LuiGFIYbalGymyKxHbFECjce2XuZLSwuWrybQV0jacN4u9jzAsr1yaJNTQ
GRANDMASTER,Ka4o5WFewRd4obkL3gaQsfI9SNjKPr9XyM9fhE8yxtQk5GpykfgimoG4TOuqSK3eDi5bNlwOQ58paw
GRANDMASTER,1hRv4ALF8_cmWUTYPWEIolr8tUNARZFOI3Ag6V0wlCDOewCndofSvcZCJ91S1l6cs9yL6o7IQlgyIw
GRANDMASTER,Toe8Y5VTKpM9UXgl4yAJOOjZRS7Kpx3IGuYqYfof5YpPgurNznTqmllgLJRT8P5O0OTkDaMiWqOL5w
GRANDMASTER,Em6b0zipXAEFQB2oHMWU2DAw_NKR2SfGmOKvNkteJQHIfV9ZoecqWZEH5eEoytsgqr3SBvjTmkaT5w
GRANDMASTER,2YHDvKmrch2QdhIrBP43aFDUDKPPjL20rXi9n0-v3GhRIhRwWVbOBSIdghQelr0x0tz1zM9Nw8VIBQ
GRANDMASTER,pkzyue_gPby2hukCJrFfQote_yexgimFMqvagVyzxn5ocqoOu8PBodTZHfyf-MibbhjAfa_SqVjtNA
GRANDMASTER,ougTxnZ1Z_LyUm_cJfCmdcCFnESMGjlVVEJENejMLK-Snn5xvWFq60FYMSDpwrrh9hzCc_d4flFubA
GRANDMASTER,HQHGT4w7BxJJBE1UsK0QUwIuLGh1U6U3OvzBw0-S-mCqltVZhBviVhSuqMWZ87yVDvQs8J2oYIyczQ
GRANDMASTER,lGoGHVXYmdnPla7nTWwhi5tm58sSQU9vHJ9740eunrdv7l4s9D_mOlx4phslYrTFr7uOb_mZHqXfuQ
GRANDMASTER,P6yGSB7SdxOcoUjPMA1WklVp5ta-FdsPuQs4Qa_ztUaoRBbSaOd3FTjiHTPb74s5ZH_giSynMGiKnw
GRANDMASTER,Ll6R2mlv-iq4E1EJQtN9ytxegEdn7kabUqGk_G-cXBynO95I3etOosTEJPYTIfBcOItU-roTJlsQmA
GRANDMASTER,VKMiGY0tl9lEqp0ks3S5RfxORBSCrrp4zn50tIUqiA9nasyG8RAHpkEbPs_o3j-LKesVhLdyCa2KLg
GRANDMASTER,sP63-m4ToD8NJiUo0rowS5epFCZHkhdFhKmdNqiVyYqhhNm-_7XM4xSITNlyC-mYIC2isIGyh6-WkQ
GRANDMASTER,j1wwmoyNjyynLX-S7ZV8nR7aFFdKIb-gfcPtKVgmYL9IKBHyD3bC8LYRsFoF5iy3uuTGT1b3gCYzFA
GRANDMASTER,WA3AurJPRj1Z7RXj0QzdhpO5J6OSAr7MkSY3jUc4EzxhcQW68eMzvDUeB5JfPqB_B0gFTldzcYST9w
GRANDMASTER,YO3TrD6lFO2-VXqx1NCTijbVUqeHfrh0bb5fZqMov3pNMcxR5H2qR48JF1krgus-AOP0LpbAt7SPFQ
GRANDMASTER,BxRyrREoYFzL2ZHiw-qRTp0Ft2PyoAWyP9-zCTSXc0XJCJ5r2hgGhWjr6cZl_DRvshAdhgYpOcQ-Xw
GRANDMASTER,vFV3DiCMWQZLr1Q8xGHsRgS3959OlshuofhXnyBPZ7EeaPUvdQHMxVf4hKSxbN7d9tYOpgMHCQaryg
GRANDMASTER,wnNLdmIBqYYjj1JMCmL9j9ez4yymdgtMxt04xSgYnaGZNAsjMUGg1x-uPzf81WvFZsJtPY13Jo9c5Q
GRANDMASTER,F8LHYkDXZQrB6mucRC3nDErXBP2Q9z0S72L0Ar_Dnc2_FWsVZiisxL1vICyxfMIK_wUqrUK5R34G1g
GRANDMASTER,ipKM_xbT8EpN0G505kLUFWdXrmUmvlzCWHILjrG46MgRgRP4ai6WA-ewchsVr9RX4LLr7Z_CuNzGhQ
GRANDMASTER,RD0X_vbA3HPo6Qo9wpj2GoGD4sFKBSCqlQQq1Lhnla1coePPG9d1Va4yzAuk59qOwQeslWeElIY51g
GRANDMASTER,qn7zvvawaC5k68sxYBvTwVoldOvV8Xcd53oHcvx_0RiQasif5LMkb78t2yYRC0XBELte3Yq9hW-VKA
GRANDMASTER,rvj0GMcH92VTOfpKwQiCR3tGRxW6DB1GE5w_0JJu5GQHT8K8ocOWcgds7JPDxo58vfej10VoJpHb1w
GRANDMASTER,5ClYZb1aVqFNG5frGLdJ3YfAXDxmkBpVuC_wmHScIhxjc8YYyOOnQYz4x8bcvRhjOXzNG5YGr4N6Qw
GRANDMASTER,qJvIuWGNE3y_xNJrJggWDDhvrWfCUR2ktpOjEPWwQdFX-N9ZBiPeOL5OCh3VyMelqm0YnOMoLypy1A
GRANDMASTER,NX59j5t5NzlX5vJbsQm8w_HHAcFzujWRIyMLrXxHLPNNYzf64gAN9JIn8jhQljbQ2XuKuFg5EuqOew
GRANDMASTER,9mnjDMAIC72gknkBM9ycKaWO-HIj5m7wrhWyl9d3MopSDqaRETv0mUDVjdZYjng0rHpVJJOPuOwy6g
GRANDMASTER,CcR1SA1v0Y72MAO2iRtOmINPa-reu9FVqMDm3rJirysAYV4YoEKcPL7f91UVOduNMZ3NtUWnuRWuXA
GRANDMASTER,vga4CkBzrcLbEP7kuy7QftwlWJDanbkvsX6g_kr4NsgdoMsTlCQH-41akpqNtVXqvRxcmMd-a-tYbA
GRANDMASTER,dxM3bD5hV934fyRBvYR3XL4tfPxNT2N5OIfrtR-mCY8_rcg6XcVk_PHjdvjSLFRpLetUyjSTV57hvg
GRANDMASTER,0fc6HJ9UNMvS4avoYmMpn-mJpowVPvRZQ8osWpsRBEBE66awlaZMknToGMsLYw9GonqbpDHMAfCVMQ
GRANDMASTER,3U0UXR8ddmavFOhafwA7mHyuo82F4A8itmLHV7IRKXWXC3yWGWbfYohpI5N1sbUJmWVQce38A7tfGw
GRANDMASTER,_rPHCiNB073zbua-yw7i8kIjqzes-mZEpZP1ZpqraM96F6AMICccpL1OuoEo8Mc2vRIXdJdA_g5nXg
GRANDMASTER,1ttxGlkDDCNnbsC8f_wIQYlmjHGO5wsw8bhsmNhL5Oyl7YzVG-7HDSsYIbU9thCrbOfpmGYACZKavA
GRANDMASTER,hCgAkumQI9imUJxmoHZQQhgI2RkUOTbh7jkFMtn1-v_li2_tKG1x__59FpwBoEH034khDG5-bN38dw
GRANDMASTER,Jk5YqTJ2EL6u0_-mOKc41Q6BjYTwIf2IcJKXFMKk0XfdHb0Z9h1EKvWmwVf9gmqgKbLiRSFnOsP5Lw
GRANDMASTER,gSyIkU2fSo5bU3UTgp4HiarGlbQXX9kqz2CNJfx5c-qBKk_3nCmKK6bAWpKTB8lv9q72ZqV7yFRfdQ
GRANDMASTER,HJHUvspG0pK3l444dMKI4x_WVZwt4wmZmjzqa7knSDTyCdsXJAYdG2yROHxZAxmc0GxfmKJbcDGO8g
GRANDMASTER,O98ak7ZcwrQrqfrFHMFw6sNYDcpiEZWVPl4Z7RmzWtAv7-MaHdt_70uAFqc9mAhe6Agzpm4c6hN0kA
GRANDMASTER,-Uz5dLWCELO0M8XO-cS_isfthsCoDL-NQcGb4LJsKspfx2779RK8uBtVlk2_4snQ5GbLsEk4QimFNw
GRANDMASTER,W7n5rCfvnc55juG0r7qQP9ie-YeEU1CBaRh8q9BAFRUmROyg-vPAQENkXBUFIfX2Chr-vNGAI-xnKg
GRANDMASTER,YfHivSyuCoGqNvextpz7w7uug5QF_Be7GiJQsKw3HDrUZO52IESnZ4knzTdRCh1XCo0AEhTa2p_7ag
GRANDMASTER,H3doKOEl4ZWF72YzIzJBGgNbbsdJ2stwTpHGwU9ECBZIglUlwUZfMl5eWhwQ1BsOBmhcFvYF0nz6vQ
GRANDMASTER,ZaMw1FEx3ZC6ph4SPgPjT2z8ewzw_JNrhM5Dh7Oy9uWC0ELn8HPa_H_D9uUtli--LF8YjKX1ErDySQ
GRANDMASTER,8HOeVgN_u49WmeN2RlohjhXMi-FjuszrwIkWY34hCI65JhmiVjLkwiYwYz_S7iEZE3w-mnay6WuQcA
GRANDMASTER,cnWHZ6BPNZXHkhJvtxfVXxhig2FNYW2iZyphYauxLVZBVM6HzFvLS6qjmO4vrS0U5kiAxXRPc3fizg
GRANDMASTER,vhMwbucNhtcr37cunB0we4r3F1Dsls-U2vrx-UB5aSnw8o5o4VenptcrOvCrzo43GQz0jqg4NXVCMg
GRANDMASTER,PmK9pSPYwfm1xLjZHa2C-R4Rhm6V63V4Wc0Ez6GuNyOQ_sAMzX47R8RXjE0tKg-yc_hR9LXaJoqkGw
GRANDMASTER,ooXoOuocTce_3gbDkK4A-UCUPBcA8l7I53vEPELQ6IgnHvJJhfwoxLx81HHYFdwhcqiP8t5bCKIcYQ
GRANDMASTER,7K07d6EJvlznuSdJhg375gCFbSVNEcbH6gHrIz1ROk3xv9lGn17WbdNPRNFvVpIDdbQYJlYEiYTf_w
GRANDMASTER,BbmlibXceIHjd3i812BXIXAtR2yLPbRJayG2OQTfxmuwJvdKMN5OwJ0BiulWFQfb9uIigjUGiX0Mhw
GRANDMASTER,NKEuaFIyBYt5kgkk1tHPFCfDmELcg29Fk9EXEVyUG6nmeBa4b71sY5wNERsuRVcF4CQphvM8B4lMAw
GRANDMASTER,NFf3-X2pPeiQ_IZAGehU0whvteN-9YiG3HVm5tTjKFSO0oQvaRhQ4d3ix020ZFdwT-FfU9DzC97SaA
GRANDMASTER,3jCX9FJopQhm-_x_BeKslMW9TkyuZ0BBDQSXTUIzhg19LOJFCeDkf-xyngf_qdV3fzgKX67WxHfLtg
