Role,Champion,ImpactScore
BOTTOM,Xerath,0.08479844
BOTTOM,Zyra,0.081918456
BOTTOM,Yasuo,0.07732855
BOTTOM,Veigar,0.06513803
BOTTOM,Twitch,0.062419064
BOTTOM,Tristana,0.060423117
BOTTOM,Draven,0.0595199
BOTTOM,Senna,0.054195482
BOTTOM,Brand,0.05265251
BOTTOM,Sivir,0.05139421
BOTTOM,Hwei,0.03362851
BOTTOM,Nilah,0.024447476
BOTTOM,Aphelios,0.020506755
BOTTOM,Syndra,0.019683275
BOTTOM,Swain,0.015528027
BOTTOM,Ziggs,0.0135714505
BOTTOM,Kaisa,0.011861496
BOTTOM,Smolder,0.011405529
BOTTOM,Jinx,0.010894767
BOTTOM,Lux,0.006871399
BOTTOM,Vayne,0.0063465172
BOTTOM,Seraphine,0.0017683832
BOTTOM,AurelionSol,0.0010021849
BOTTOM,Zeri,-0.009694831
BOTTOM,Lucian,-0.010854567
BOTTOM,KogMaw,-0.013761291
BOTTOM,Ashe,-0.015959125
BOTTOM,Corki,-0.01604156
BOTTOM,Varus,-0.022445625
BOTTOM,Caitlyn,-0.023803838
BOTTOM,Jhin,-0.02657645
BOTTOM,Samira,-0.02759027
BOTTOM,Yunara,-0.037334703
BOTTOM,MissFortune,-0.04375691
BOTTOM,Xayah,-0.047957838
BOTTOM,Ezreal,-0.057392437
BOTTOM,Karthus,-0.06337385
BOTTOM,Mel,-0.07128974
BOTTOM,Kalista,-0.08306047
JUNGLE,Udyr,0.099690065
JUNGLE,Talon,0.092914104
JUNGLE,Zyra,0.08210662
JUNGLE,Taliyah,0.07148752
JUNGLE,Rumble,0.06770498
JUNGLE,Qiyana,0.065178476
JUNGLE,Shaco,0.06425842
JUNGLE,Warwick,0.062260818
JUNGLE,Ivern,0.060480136
JUNGLE,DrMundo,0.056950796
JUNGLE,Gwen,0.05424868
JUNGLE,Belveth,0.05352914
JUNGLE,Volibear,0.05054689
JUNGLE,Morgana,0.045659456
JUNGLE,Zed,0.044800103
JUNGLE,Kindred,0.041467313
JUNGLE,Nidalee,0.037633467
JUNGLE,Elise,0.03507035
JUNGLE,Diana,0.034520745
JUNGLE,Sylas,0.03350847
JUNGLE,XinZhao,0.033416126
JUNGLE,Evelynn,0.030519843
JUNGLE,Briar,0.029635517
JUNGLE,Pantheon,0.028721977
JUNGLE,Poppy,0.02785314
JUNGLE,Zac,0.023375316
JUNGLE,Jax,0.02149116
JUNGLE,Maokai,0.02059569
JUNGLE,JarvanIV,0.019719299
JUNGLE,RekSai,0.01866536
JUNGLE,Naafiri,0.016841656
JUNGLE,Gragas,0.014146783
JUNGLE,Ekko,0.007752453
JUNGLE,MasterYi,0.006501992
JUNGLE,Sejuani,-0.0028742384
JUNGLE,Vi,-0.007614268
JUNGLE,Trundle,-0.019119734
JUNGLE,Olaf,-0.019601373
JUNGLE,Ambessa,-0.019783238
JUNGLE,Graves,-0.022789063
JUNGLE,Hecarim,-0.023890637
JUNGLE,Rengar,-0.026291436
JUNGLE,MonkeyKing,-0.030384965
JUNGLE,LeeSin,-0.03061615
JUNGLE,Kayn,-0.03176959
JUNGLE,Viego,-0.032843724
JUNGLE,FiddleSticks,-0.036130264
JUNGLE,Nocturne,-0.039626
JUNGLE,Lillia,-0.05302859
JUNGLE,Nunu,-0.058417507
JUNGLE,Amumu,-0.062389944
JUNGLE,Karthus,-0.06345284
JUNGLE,Khazix,-0.06694417
